Season,Squad,Country,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2012-2013,Barcelona,Spain,25,26.9,12,132,18,14,32,17,1,1,25.0,1.0
2012-2013,BATE Borisov,Belarus,19,26.7,12,66,9,7,16,9,0,0,17.0,1.0
2012-2013,Bayern Munich,Germany,21,26.3,13,143,30,24,54,29,1,2,30.0,1.0
2012-2013,Benfica,Portugal,20,25.6,6,66,5,4,9,5,0,1,16.0,0.0
2012-2013,Braga,Portugal,20,27.6,8,66,7,4,11,6,1,1,11.0,1.0
2012-2013,Celtic,Scotland,19,25.2,12,88,8,5,13,7,1,1,16.0,0.0
2012-2013,CFR Cluj,Romania,19,27.4,10,66,8,7,15,8,0,0,9.0,1.0
2012-2013,Chelsea,England,19,26.3,6,66,16,9,25,15,1,2,6.0,0.0
2012-2013,Dinamo Zagreb,Croatia,19,24.0,12,66,1,0,1,0,1,1,8.0,0.0
2012-2013,Dortmund,Germany,20,25.0,13,143,23,16,39,21,2,3,13.0,0.0
2012-2013,Dynamo Kyiv,Ukraine,21,25.9,10,66,5,5,10,5,0,0,13.0,0.0
2012-2013,Galatasaray,Türkiye,22,27.6,10,110,14,12,26,14,0,0,26.0,0.0
2012-2013,Juventus,Italy,24,28.1,10,110,16,14,30,16,0,0,20.0,0.0
2012-2013,Lille,France,22,27.1,8,66,4,3,7,4,0,0,18.0,1.0
2012-2013,Málaga,Spain,24,28.2,12,110,16,14,30,15,1,2,23.0,0.0
2012-2013,Manchester City,England,21,26.3,6,66,7,3,10,5,2,2,15.0,0.0
2012-2013,Manchester Utd,England,28,26.1,8,88,10,7,17,9,1,2,13.0,0.0
2012-2013,Milan,Italy,28,27.2,8,88,8,7,15,8,0,0,21.0,0.0
2012-2013,Montpellier,France,25,26.1,6,66,6,2,8,4,2,2,15.0,1.0
2012-2013,Nordsjælland,Denmark,19,26.4,6,66,4,3,7,4,0,1,14.0,0.0
2012-2013,Olympiacos,Greece,20,27.5,6,66,9,6,15,9,0,0,13.0,0.0
2012-2013,Paris S-G,France,25,26.8,10,110,20,16,36,19,1,1,22.0,1.0
2012-2013,Porto,Portugal,19,25.5,8,88,11,9,20,11,0,0,15.0,1.0
2012-2013,Real Madrid,Spain,25,26.5,12,132,26,24,50,26,0,0,25.0,2.0
2012-2013,Schalke 04,Germany,23,24.8,8,88,13,10,23,12,1,2,17.0,0.0
2012-2013,Shakhtar,Ukraine,18,26.8,8,88,14,10,24,14,0,0,15.0,0.0
2012-2013,Spartak Moscow,Russia,23,26.0,8,66,5,5,10,5,0,0,18.0,3.0
2012-2013,Valencia,Spain,23,26.5,8,88,14,7,21,11,3,3,21.0,2.0
2012-2013,ruZen,Italy,21,28.8,6,66,6,3,9,5,1,1,15.0,1.0
2011-2012,Ajax,The Netherlands,20,23.5,6,66,6,4,10,6,0,0,6.0,0.0
2011-2012,APOEL FC,Cyprus,23,30.6,16,110,9,7,16,7,2,2,27.0,1.0
2011-2012,Arsenal,England,29,25.4,10,88,10,4,14,9,1,1,16.0,0.0
2011-2012,Barcelona,Spain,31,26.7,12,132,33,22,55,28,5,6,17.0,0.0
2011-2012,Basel,Switzerland,20,24.6,8,88,12,8,20,10,2,2,18.0,1.0
2011-2012,BATE Borisov,Belarus,21,24.9,12,66,2,0,2,1,1,1,8.0,0.0
2011-2012,Bayern Munich,Germany,21,25.5,15,143,26,15,41,25,1,3,29.0,1.0
2011-2012,Benfica,Portugal,22,25.9,14,110,12,8,20,12,0,0,27.0,2.0
2011-2012,Chelsea,England,23,27.7,13,152,27,21,48,25,2,3,31.0,1.0
2011-2012,CSKA Moscow,Russia,23,26.2,8,88,11,10,21,11,0,0,16.0,1.0
2011-2012,Dinamo Zagreb,Croatia,19,24.3,12,66,3,2,5,3,0,0,18.0,1.0
2011-2012,Dortmund,Germany,20,24.2,6,66,6,4,10,5,1,1,7.0,0.0
2011-2012,Genk,Belgium,20,24.9,10,66,2,2,4,2,0,0,9.0,0.0
2011-2012,Inter,Italy,25,29.8,8,88,10,8,18,9,1,1,16.0,0.0
2011-2012,Leverkusen,Germany,21,24.8,8,88,10,6,16,10,0,0,20.0,0.0
2011-2012,Lille,France,20,27.6,6,66,5,3,8,5,0,0,15.0,0.0
2011-2012,Lyon,France,20,25.9,10,88,10,8,18,10,0,0,15.0,0.0
2011-2012,Manchester City,England,20,25.7,6,66,8,5,13,7,1,1,10.0,0.0
2011-2012,Manchester Utd,England,24,26.1,6,66,10,6,16,8,2,2,8.0,1.0
2011-2012,Marseille,France,22,26.4,10,110,9,5,14,8,1,1,23.0,3.0
2011-2012,Milan,Italy,27,29.1,10,110,16,12,28,14,2,2,25.0,0.0
2011-2012,Napoli,Italy,19,28.4,8,88,13,10,23,12,1,1,21.0,1.0
2011-2012,Olympiacos,Greece,22,28.1,6,66,8,4,12,8,0,0,10.0,0.0
2011-2012,Oțelul Galați,Romania,22,25.8,6,66,3,0,3,2,1,1,15.0,2.0
2011-2012,Porto,Portugal,20,25.1,6,66,6,3,9,5,1,2,19.0,1.0
2011-2012,Real Madrid,Spain,24,25.8,12,132,34,27,61,32,2,2,24.0,1.0
2011-2012,Shakhtar,Ukraine,20,25.9,6,66,6,4,10,6,0,1,17.0,2.0
2011-2012,Trabzonspor,Türkiye,18,27.5,8,66,3,1,4,2,1,1,15.0,0.0
2011-2012,Valencia,Spain,19,26.0,6,66,12,8,20,11,1,1,11.0,0.0
2011-2012,Viktoria Plzeň,Czech Republic,19,28.5,12,66,4,4,8,4,0,0,16.0,0.0
2011-2012,Villarreal,Spain,23,26.2,8,66,2,1,3,2,0,0,20.0,0.0
2011-2012,ruZen,Italy,20,28.3,8,88,10,6,16,10,0,1,18.0,1.0
2010-2011,Ajax,The Netherlands,17,24.2,10,66,6,4,10,6,0,0,10.0,1.0
2010-2011,Arsenal,England,25,24.8,8,88,20,13,33,17,3,4,13.0,2.0
2010-2011,Auxerre,France,20,27.3,8,66,3,2,5,3,0,0,8.0,2.0
2010-2011,Barcelona,Spain,25,26.6,13,143,30,24,54,28,2,3,14.0,1.0
2010-2011,Basel,Switzerland,18,25.7,10,66,8,6,14,8,0,0,7.0,1.0
2010-2011,Bayern Munich,Germany,23,26.4,8,88,17,11,28,16,1,1,17.0,0.0
2010-2011,Benfica,Portugal,19,25.6,6,66,7,6,13,7,0,0,12.0,1.0
2010-2011,Braga,Portugal,21,27.6,10,66,5,4,9,5,0,0,10.0,0.0
2010-2011,Bursaspor,Türkiye,21,28.0,6,66,2,2,4,2,0,0,9.0,0.0
2010-2011,CFR Cluj,Romania,22,26.5,6,66,6,6,12,6,0,0,12.0,1.0
2010-2011,Chelsea,England,25,27.5,10,110,17,10,27,15,2,2,14.0,1.0
2010-2011,FC Copenhagen,Denmark,19,26.6,12,88,6,3,9,5,1,1,12.0,0.0
2010-2011,Hapoel Tel Aviv,Israel,19,25.9,12,66,7,5,12,6,1,1,14.0,0.0
2010-2011,Inter,Italy,29,29.0,10,110,18,14,32,17,1,1,17.0,1.0
2010-2011,Lyon,France,20,25.5,8,88,12,8,20,11,1,1,15.0,0.0
2010-2011,Manchester Utd,England,28,27.7,13,143,18,16,34,17,1,1,14.0,0.0
2010-2011,Marseille,France,20,27.0,8,88,12,11,23,12,0,0,11.0,0.0
2010-2011,Milan,Italy,23,29.5,8,88,7,5,12,7,0,0,23.0,0.0
2010-2011,MŠK Žilina,Slovakia,19,26.1,12,66,3,2,5,3,0,0,9.0,0.0
2010-2011,Panathinaikos,Greece,21,28.2,6,66,2,2,4,2,0,0,11.0,1.0
2010-2011,Partizan,Serbia,21,26.1,12,66,2,1,3,1,1,2,11.0,1.0
2010-2011,Rangers,Scotland,19,28.0,6,66,3,3,6,3,0,0,10.0,0.0
2010-2011,Real Madrid,Spain,26,25.7,12,132,24,20,44,23,1,1,28.0,3.0
2010-2011,Roma,Italy,25,29.7,8,84,12,8,20,10,2,3,14.0,1.0
2010-2011,Rubin Kazan,Russia,20,26.8,6,66,2,0,2,0,2,2,10.0,0.0
2010-2011,Schalke 04,Germany,27,25.2,12,132,21,15,36,21,0,0,27.0,2.0
2010-2011,Shakhtar,Ukraine,22,24.9,10,110,19,14,33,18,1,1,24.0,0.0
2010-2011,Spartak Moscow,Russia,22,25.3,6,66,6,6,12,6,0,0,7.0,2.0
2010-2011,Tottenham,England,25,26.6,12,110,17,13,30,15,2,4,9.0,3.0
2010-2011,Twente,The Netherlands,21,24.9,6,66,8,2,10,7,1,1,10.0,0.0
2010-2011,Valencia,Spain,26,27.6,8,88,16,10,26,15,1,1,12.0,0.0
2010-2011,Werr Bremen,Germany,22,25.9,8,66,6,6,12,6,0,0,9.0,1.0
2009-2010,APOEL FC,Cyprus,20,30.1,12,66,3,2,5,3,0,0,12.0,0.0
2009-2010,Arsenal,England,29,24.6,12,109,21,16,37,19,2,2,19.0,0.0
2009-2010,Atlético Madrid,Spain,21,26.4,8,66,3,0,3,3,0,0,12.0,0.0
2009-2010,AZ Alkmaar,The Netherlands,19,24.5,6,66,4,4,8,4,0,0,9.0,0.0
2009-2010,Barcelona,Spain,20,26.5,12,132,20,16,36,20,0,0,19.0,1.0
2009-2010,Bayern Munich,Germany,22,27.2,13,143,20,12,32,18,2,2,21.0,3.0
2009-2010,Beşiktaş,Türkiye,22,28.4,6,66,3,3,6,3,0,0,14.0,0.0
2009-2010,Bordeaux,France,23,26.4,10,110,14,12,26,14,0,2,10.0,1.0
2009-2010,Chelsea,England,22,28.6,8,86,11,9,20,11,0,0,14.0,1.0
2009-2010,CSKA Moscow,Russia,20,25.1,10,110,13,12,25,13,0,0,21.0,2.0
2009-2010,Debrecen,Hungary,20,26.6,12,66,5,5,10,5,0,0,7.0,0.0
2009-2010,Dynamo Kyiv,Ukraine,17,25.3,6,66,6,3,9,6,0,0,15.0,0.0
2009-2010,Fiorentina,Italy,23,27.6,10,83,16,13,29,15,1,1,15.0,2.0
2009-2010,Inter,Italy,23,29.5,13,143,17,13,30,17,0,0,30.0,2.0
2009-2010,Juventus,Italy,22,28.7,6,66,4,4,8,4,0,0,11.0,0.0
2009-2010,Liverpool,England,24,26.1,6,66,5,3,8,5,0,0,3.0,0.0
2009-2010,Lyon,France,20,25.8,14,132,17,12,29,16,1,1,23.0,2.0
2009-2010,Maccabi Haifa,Israel,20,24.9,12,66,0,0,0,0,0,0,13.0,2.0
2009-2010,Manchester Utd,England,27,27.3,10,112,20,18,38,20,0,0,11.0,2.0
2009-2010,Marseille,France,20,28.2,6,66,9,5,14,9,0,1,10.0,2.0
2009-2010,Milan,Italy,25,29.8,8,88,10,7,17,8,2,2,17.0,0.0
2009-2010,Olympiacos,Greece,24,28.8,12,88,5,4,9,5,0,0,14.0,2.0
2009-2010,Porto,Portugal,21,25.1,8,86,10,7,17,9,1,1,12.0,2.0
2009-2010,Rangers,Scotland,19,27.6,6,66,3,3,6,3,0,1,11.0,0.0
2009-2010,Real Madrid,Spain,21,25.4,8,89,16,9,25,15,1,1,22.0,0.0
2009-2010,Rubin Kazan,Russia,16,27.8,6,60,2,1,3,2,0,0,12.0,0.0
2009-2010,Sevilla,Spain,25,27.4,8,88,13,11,24,12,1,1,9.0,0.0
2009-2010,Standard Liège,Belgium,19,23.8,6,66,6,4,10,5,1,1,13.0,1.0
2009-2010,Stuttgart,Germany,20,26.1,10,84,10,8,18,10,0,0,14.0,0.0
2009-2010,Unirea Urziceni,Romania,21,27.8,6,70,5,2,7,5,0,0,15.0,0.0
2009-2010,Wolfsburg,Germany,17,26.4,6,66,9,7,16,8,1,1,3.0,1.0
2009-2010,Züri,Switzerland,18,25.4,10,68,5,3,8,4,1,1,14.0,1.0
2008-2009,Aalborg,Denmark,16,26.3,10,62,7,5,12,7,0,0,8.0,1.0
2008-2009,Anorthosis,Cyprus,20,29.9,12,64,7,3,10,7,0,0,10.0,0.0
2008-2009,Arsenal,England,24,23.9,14,132,17,12,29,13,4,4,20.0,0.0
2008-2009,Atlético Madrid,Spain,22,27.0,10,88,11,8,19,11,0,0,17.0,0.0
2008-2009,Barcelona,Spain,23,25.9,15,144,31,27,58,29,2,2,22.0,1.0
2008-2009,Basel,Switzerland,21,25.7,10,65,2,2,4,2,0,0,7.0,0.0
2008-2009,BATE Borisov,Belarus,19,24.7,12,68,3,2,5,3,0,0,14.0,1.0
2008-2009,Bayern Munich,Germany,22,28.0,10,110,24,14,38,22,2,2,17.0,0.0
2008-2009,Bordeaux,France,17,27.2,6,57,4,3,7,4,0,0,14.0,1.0
2008-2009,Celtic,Scotland,19,26.3,6,65,4,4,8,4,0,1,8.0,0.0
2008-2009,CFR Cluj,Romania,18,26.6,6,66,5,2,7,5,0,0,16.0,1.0
2008-2009,Chelsea,England,21,27.5,12,129,20,16,36,20,0,0,30.0,2.0
2008-2009,Dynamo Kyiv,Ukraine,19,24.8,10,66,4,2,6,3,1,1,16.0,1.0
2008-2009,Fenerbahçe,Türkiye,20,27.8,10,66,3,0,3,3,0,0,17.0,1.0
2008-2009,Fiorentina,Italy,19,26.7,8,66,5,5,10,5,0,0,13.0,0.0
2008-2009,Inter,Italy,23,28.4,8,87,7,7,14,7,0,0,12.0,0.0
2008-2009,Juventus,Italy,25,28.7,10,88,9,6,15,8,1,2,19.0,1.0
2008-2009,Liverpool,England,22,26.1,12,112,20,14,34,16,4,4,17.0,0.0
2008-2009,Lyon,France,22,26.3,8,88,16,11,27,16,0,0,22.0,1.0
2008-2009,Manchester Utd,England,24,26.9,13,143,18,12,30,18,0,0,14.0,1.0
2008-2009,Marseille,France,18,25.9,8,66,5,5,10,5,0,0,6.0,0.0
2008-2009,Panathinaikos,Greece,22,27.6,12,88,10,4,14,9,1,1,15.0,0.0
2008-2009,Porto,Portugal,22,25.0,10,109,12,9,21,12,0,0,16.0,1.0
2008-2009,PSV Eindhoven,The Netherlands,19,26.4,6,63,5,4,9,5,0,0,13.0,0.0
2008-2009,Real Madrid,Spain,25,26.6,8,88,8,5,13,8,0,0,11.0,0.0
2008-2009,Roma,Italy,23,28.2,8,90,13,10,23,13,0,0,16.0,0.0
2008-2009,Shakhtar,Ukraine,22,24.8,8,66,11,9,20,11,0,0,19.0,0.0
2008-2009,Sporting CP,Portugal,21,26.2,8,88,9,5,14,9,0,0,13.0,1.0
2008-2009,Steaua,Romania,20,27.2,8,67,3,3,6,3,0,0,18.0,1.0
2008-2009,Villarreal,Spain,21,27.3,10,106,13,9,22,12,1,1,21.0,3.0
2008-2009,Werr Bremen,Germany,21,25.9,6,66,7,5,12,6,1,1,17.0,0.0
2008-2009,ruZen,Italy,16,27.2,6,63,4,3,7,4,0,0,11.0,1.0
2007-2008,Arsenal,England,24,24.2,12,110,18,16,34,18,0,0,16.0,0.0
2007-2008,Barcelona,Spain,24,26.8,12,141,19,13,32,18,1,1,20.0,0.0
2007-2008,Benfica,Portugal,20,26.9,8,66,5,4,9,5,0,0,7.0,1.0
2007-2008,Beşiktaş,Türkiye,22,26.5,10,69,3,2,5,3,0,0,4.0,0.0
2007-2008,Celtic,Scotland,23,25.9,10,89,6,5,11,6,0,0,12.0,0.0
2007-2008,Chelsea,England,24,28.0,13,146,17,11,28,16,1,1,14.0,1.0
2007-2008,CSKA Moscow,Russia,22,24.7,6,65,6,3,9,5,1,1,14.0,0.0
2007-2008,Dynamo Kyiv,Ukraine,27,26.9,8,66,4,4,8,4,0,0,6.0,0.0
2007-2008,Fenerbahçe,Türkiye,21,27.1,12,110,14,8,22,14,0,0,21.0,1.0
2007-2008,Inter,Italy,24,28.8,8,88,12,9,21,11,1,1,14.0,1.0
2007-2008,Lazio,Italy,21,28.3,8,67,8,5,13,8,0,1,9.0,0.0
2007-2008,Liverpool,England,22,26.5,14,130,29,22,51,26,3,3,11.0,0.0
2007-2008,Lyon,France,22,27.1,8,88,12,8,20,11,1,1,13.0,0.0
2007-2008,Manchester Utd,England,26,26.2,13,144,20,15,35,19,1,1,14.0,0.0
2007-2008,Marseille,France,20,25.1,6,66,6,3,9,6,0,0,10.0,0.0
2007-2008,Milan,Italy,23,30.0,8,88,12,9,21,11,1,1,15.0,0.0
2007-2008,Olympiacos,Greece,23,30.1,8,88,11,6,17,11,0,0,14.0,1.0
2007-2008,Porto,Portugal,22,26.0,8,88,7,5,12,5,2,2,8.0,1.0
2007-2008,PSV Eindhoven,The Netherlands,21,25.9,6,68,3,2,5,3,0,0,9.0,1.0
2007-2008,Rangers,Scotland,18,27.4,10,63,7,5,12,6,1,1,14.0,1.0
2007-2008,Real Madrid,Spain,23,26.2,8,88,15,13,28,15,0,0,12.0,0.0
2007-2008,Roma,Italy,22,27.9,10,110,14,9,23,14,0,0,21.0,0.0
2007-2008,Rosenborg,Norway,16,27.5,10,69,6,4,10,6,0,0,6.0,0.0
2007-2008,Schalke 04,Germany,23,25.9,10,110,6,6,12,6,0,0,25.0,0.0
2007-2008,Sevilla,Spain,24,27.0,10,82,16,10,26,16,0,0,7.0,0.0
2007-2008,Shakhtar,Ukraine,17,25.1,10,66,6,3,9,5,1,1,11.0,0.0
2007-2008,Slavia Prague,Czech Republic,23,26.2,10,65,5,3,8,5,0,0,12.0,0.0
2007-2008,Sporting CP,Portugal,23,24.9,6,65,9,5,14,8,1,1,8.0,0.0
2007-2008,Steaua,Romania,21,25.6,10,66,4,3,7,4,0,0,8.0,0.0
2007-2008,Stuttgart,Germany,21,25.6,6,82,7,4,11,7,0,1,8.0,0.0
2007-2008,Valencia,Spain,23,27.5,8,66,2,1,3,2,0,0,6.0,1.0
2007-2008,Werr Bremen,Germany,20,25.6,8,80,8,6,14,7,1,1,6.0,1.0
2006-2007,AEK Athens,Greece,22,27.2,8,66,6,4,10,6,0,0,13.0,0.0
2006-2007,Anderlecht,Belgium,17,24.9,6,62,7,6,13,7,0,0,11.0,1.0
2006-2007,Arsenal,England,23,25.4,10,83,7,6,13,6,1,1,8.0,0.0
2006-2007,Barcelona,Spain,21,27.1,8,88,14,10,24,14,0,0,12.0,0.0
2006-2007,Bayern Munich,Germany,20,27.4,10,109,16,8,24,15,1,1,19.0,2.0
2006-2007,Benfica,Portugal,18,28.1,8,58,6,4,10,6,0,0,6.0,0.0
2006-2007,Bordeaux,France,21,26.8,6,66,6,5,11,6,0,0,6.0,1.0
2006-2007,Celtic,Scotland,20,26.9,8,90,8,4,12,7,1,1,15.0,0.0
2006-2007,Chelsea,England,22,26.6,12,132,17,14,31,16,1,1,23.0,0.0
2006-2007,CSKA Moscow,Russia,19,24.4,8,66,4,3,7,3,1,1,15.0,0.0
2006-2007,Dynamo Kyiv,Ukraine,25,25.9,10,66,5,3,8,5,0,0,12.0,0.0
2006-2007,FC Copenhagen,Denmark,17,26.5,10,66,5,3,8,5,0,0,6.0,0.0
2006-2007,Galatasaray,Türkiye,24,28.0,8,66,7,3,10,7,0,0,11.0,2.0
2006-2007,Hamburger SV,Germany,24,25.7,8,66,7,3,10,7,0,0,12.0,2.0
2006-2007,Inter,Italy,23,29.1,8,88,7,6,13,7,0,0,14.0,3.0
2006-2007,Levski Sofia,Bulgaria,21,27.7,10,66,1,1,2,1,0,0,7.0,0.0
2006-2007,Lille,France,23,25.3,10,88,7,6,13,7,0,0,19.0,1.0
2006-2007,Liverpool,England,25,25.9,15,135,19,15,34,19,0,0,19.0,0.0
2006-2007,Lyon,France,24,26.9,8,88,12,9,21,12,0,0,17.0,0.0
2006-2007,Manchester Utd,England,21,27.4,12,132,22,17,39,21,1,1,21.0,1.0
2006-2007,Milan,Italy,24,29.5,15,144,20,15,35,17,3,3,20.0,2.0
2006-2007,Olympiacos,Greece,18,30.0,6,63,6,6,12,6,0,0,12.0,0.0
2006-2007,Porto,Portugal,21,24.4,8,87,11,7,18,10,1,1,11.0,0.0
2006-2007,PSV Eindhoven,The Netherlands,21,26.1,10,108,8,6,14,8,0,0,9.0,2.0
2006-2007,Real Madrid,Spain,27,27.4,8,88,17,9,26,14,3,3,12.0,1.0
2006-2007,Roma,Italy,21,27.1,10,111,13,8,21,12,1,1,24.0,0.0
2006-2007,Shakhtar,Ukraine,21,24.3,8,65,6,3,9,6,0,0,18.0,2.0
2006-2007,Spartak Moscow,Russia,20,26.0,10,63,7,6,13,7,0,0,6.0,0.0
2006-2007,Sporting CP,Portugal,21,25.1,6,66,3,3,6,3,0,0,13.0,0.0
2006-2007,Steaua,Romania,20,25.9,10,66,7,5,12,7,0,0,14.0,0.0
2006-2007,Valencia,Spain,30,27.0,12,110,15,9,24,15,0,0,21.0,0.0
2006-2007,Werr Bremen,Germany,19,25.5,6,66,5,3,8,5,0,0,12.0,0.0
2005-2006,Ajax,The Netherlands,21,24.3,10,87,11,7,18,11,0,0,14.0,1.0
2005-2006,Anderlecht,Belgium,22,26.7,10,63,1,1,2,1,0,0,4.0,1.0
2005-2006,Arsenal,England,25,25.5,13,142,15,9,24,13,2,2,15.0,1.0
2005-2006,Artmedia,Slovakia,18,26.5,12,66,5,3,8,5,0,0,12.0,0.0
2005-2006,Barcelona,Spain,22,26.7,13,143,23,12,35,21,2,3,21.0,0.0
2005-2006,Bayern Munich,Germany,21,28.2,8,88,12,8,20,12,0,0,13.0,0.0
2005-2006,Benfica,Portugal,24,26.0,10,109,7,4,11,7,0,0,13.0,0.0
2005-2006,Betis,Spain,21,25.5,8,69,3,3,6,3,0,0,18.0,0.0
2005-2006,Chelsea,England,21,26.1,8,89,8,6,14,7,1,1,17.0,1.0
2005-2006,Club Brugge,Belgium,23,27.1,8,68,6,4,10,6,0,0,8.0,0.0
2005-2006,Fenerbahçe,Türkiye,17,25.6,6,66,7,2,9,5,2,2,10.0,3.0
2005-2006,Inter,Italy,26,28.2,12,113,12,10,22,11,1,3,16.0,2.0
2005-2006,Juventus,Italy,21,28.8,10,110,16,10,26,16,0,0,24.0,4.0
2005-2006,Lille,France,22,24.8,6,66,1,1,2,1,0,0,13.0,0.0
2005-2006,Liverpool,England,21,26.3,14,90,5,4,9,5,0,0,11.0,0.0
2005-2006,Lyon,France,24,26.7,10,114,17,10,27,17,0,1,16.0,1.0
2005-2006,Manchester Utd,England,18,26.1,8,65,3,1,4,3,0,0,15.0,2.0
2005-2006,Milan,Italy,21,29.5,12,131,20,16,36,19,1,2,18.0,1.0
2005-2006,Olympiacos,Greece,20,29.8,6,64,6,3,9,6,0,0,10.0,1.0
2005-2006,Panathinaikos,Greece,20,25.7,8,66,4,3,7,3,1,1,12.0,0.0
2005-2006,Porto,Portugal,21,25.5,6,64,6,5,11,6,0,0,12.0,0.0
2005-2006,PSV Eindhoven,The Netherlands,20,26.0,8,88,4,3,7,4,0,0,9.0,2.0
2005-2006,Rangers,Scotland,23,27.0,10,85,9,6,15,9,0,0,14.0,0.0
2005-2006,Rapid Wien,Austria,19,27.8,10,65,3,2,5,3,0,0,8.0,0.0
2005-2006,Real Madrid,Spain,27,26.6,8,85,9,8,17,9,0,0,15.0,1.0
2005-2006,Rosenborg,Norway,14,28.1,8,63,5,3,8,5,0,1,2.0,0.0
2005-2006,Schalke 04,Germany,15,27.2,6,66,13,5,18,11,2,2,13.0,0.0
2005-2006,Sparta Prague,Czech Republic,16,26.7,6,59,2,0,2,2,0,0,4.0,1.0
2005-2006,Thun,Switzerland,15,24.8,10,64,4,2,6,4,0,0,11.0,2.0
2005-2006,Udinese,Italy,15,27.4,8,61,9,6,15,7,2,2,11.0,1.0
2005-2006,Villarreal,Spain,24,27.3,14,143,8,5,13,6,2,3,27.0,0.0
2005-2006,Werr Bremen,Germany,19,26.9,10,108,14,10,24,12,2,2,14.0,2.0
2004-2005,Ajax,The Netherlands,23,23.2,6,66,6,3,9,6,0,1,8.0,0.0
2004-2005,Anderlecht,Belgium,22,25.9,8,66,4,2,6,4,0,1,8.0,0.0
2004-2005,Arsenal,England,22,26.5,8,88,12,7,19,10,2,2,8.0,2.0
2004-2005,Barcelona,Spain,23,25.6,8,88,13,9,22,11,2,4,7.0,0.0
2004-2005,Bayern Munich,Germany,23,28.1,10,110,20,12,32,17,3,3,16.0,0.0
2004-2005,Celtic,Scotland,19,28.5,6,66,4,4,8,4,0,0,12.0,0.0
2004-2005,Chelsea,England,23,25.3,12,132,20,18,38,20,0,0,19.0,1.0
2004-2005,CSKA Moscow,Russia,20,23.8,10,66,5,3,8,4,1,3,8.0,1.0
2004-2005,Dynamo Kyiv,Ukraine,19,24.2,8,55,7,3,10,7,0,0,9.0,0.0
2004-2005,Fenerbahçe,Türkiye,19,26.2,6,66,8,6,14,8,0,0,8.0,2.0
2004-2005,Inter,Italy,26,28.1,12,99,18,14,32,17,1,2,15.0,1.0
2004-2005,Juventus,Italy,22,28.2,12,110,9,6,15,9,0,0,23.0,1.0
2004-2005,La Coruña,Spain,21,28.6,8,67,0,0,0,0,0,0,12.0,0.0
2004-2005,Leverkusen,Germany,21,27.2,10,88,15,8,23,15,0,0,22.0,1.0
2004-2005,Liverpool,England,26,26.1,15,143,17,11,28,17,0,1,21.0,0.0
2004-2005,Lyon,France,22,25.6,10,110,29,21,50,28,1,1,10.0,0.0
2004-2005,Maccabi Tel Aviv,Israel,19,23.7,10,66,4,1,5,2,2,2,7.0,0.0
2004-2005,Manchester Utd,England,27,25.8,10,89,14,9,23,13,1,1,10.0,0.0
2004-2005,Milan,Italy,21,29.4,13,131,20,17,37,20,0,0,15.0,0.0
2004-2005,Monaco,France,20,24.9,10,89,10,8,18,10,0,0,10.0,1.0
2004-2005,Olympiacos,Greece,19,30.1,6,66,5,3,8,5,0,0,15.0,1.0
2004-2005,Panathinaikos,Greece,22,26.9,6,66,10,4,14,9,1,2,12.0,0.0
2004-2005,Paris S-G,France,20,26.7,6,66,3,3,6,3,0,0,8.0,1.0
2004-2005,Porto,Portugal,24,26.2,8,88,6,3,9,6,0,0,20.0,0.0
2004-2005,PSV Eindhoven,The Netherlands,20,26.2,14,132,14,12,26,14,0,1,13.0,1.0
2004-2005,Real Madrid,Spain,18,28.2,10,89,12,8,20,9,3,4,14.0,1.0
2004-2005,Roma,Italy,24,25.0,6,55,4,3,7,4,0,0,11.0,3.0
2004-2005,Rosenborg,Norway,19,28.7,10,66,6,3,9,6,0,0,3.0,0.0
2004-2005,Shakhtar,Ukraine,20,24.3,10,66,5,4,9,5,0,0,5.0,3.0
2004-2005,Sparta Prague,Czech Republic,19,25.4,10,66,2,2,4,2,0,0,4.0,1.0
2004-2005,Valencia,Spain,20,27.9,6,66,6,5,11,6,0,0,15.0,2.0
2004-2005,Werr Bremen,Germany,20,26.8,8,88,14,7,21,12,2,2,18.0,1.0
2003-2004,AEK Athens,Greece,23,28.4,8,66,1,1,2,1,0,0,10.0,1.0
2003-2004,Ajax,The Netherlands,22,23.0,8,66,6,4,10,5,1,1,14.0,1.0
2003-2004,Anderlecht,Belgium,17,26.0,10,66,4,3,7,4,0,1,12.0,1.0
2003-2004,Arsenal,England,18,27.7,10,107,15,9,24,15,0,0,8.0,0.0
2003-2004,Bayern Munich,Germany,19,28.0,8,91,6,4,10,5,1,1,20.0,1.0
2003-2004,Beşiktaş,Türkiye,18,30.1,6,66,5,1,6,3,2,2,11.0,1.0
2003-2004,Celta Vigo,Spain,21,28.7,10,87,8,5,13,7,1,1,20.0,1.0
2003-2004,Celtic,Scotland,19,29.0,10,66,8,8,16,8,0,1,11.0,0.0
2003-2004,Chelsea,England,21,26.2,14,128,14,5,19,14,0,0,17.0,2.0
2003-2004,Club Brugge,Belgium,21,28.0,8,66,4,4,8,4,0,0,9.0,2.0
2003-2004,Dynamo Kyiv,Ukraine,19,25.4,8,66,8,5,13,8,0,0,7.0,0.0
2003-2004,Galatasaray,Türkiye,22,28.2,8,66,6,6,12,6,0,0,13.0,2.0
2003-2004,Inter,Italy,22,27.9,6,66,8,5,13,8,0,0,9.0,0.0
