Season,Squad,Country,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2021-2022,Barcelona,Spain,23,25.9,6,66,2,1,3,2,0,0,13.0,1.0
2021-2022,Bayern Munich,Germany,24,26.9,10,110,30,23,53,27,3,4,12.0,0.0
2021-2022,Benfica,Portugal,24,27.7,10,110,13,10,23,12,1,1,20.0,0.0
2021-2022,Beşiktaş,Türkiye,26,28.0,6,66,3,2,5,2,1,1,16.0,2.0
2021-2022,Chelsea,England,24,27.4,10,110,21,15,36,19,2,2,14.0,0.0
2021-2022,Club Brugge,Belgium,21,26.2,6,66,5,5,10,5,0,0,11.0,0.0
2021-2022,Dortmund,Germany,23,26.2,6,66,10,8,18,8,2,2,8.0,2.0
2021-2022,Dynamo Kyiv,Ukraine,23,25.5,6,66,1,1,2,1,0,0,10.0,0.0
2021-2022,Inter,Italy,22,29.0,8,88,9,6,15,9,0,0,12.0,2.0
2021-2022,Juventus,Italy,28,27.3,8,88,11,6,17,9,2,2,10.0,0.0
2021-2022,Lille,France,23,26.4,8,88,8,4,12,6,2,2,26.0,0.0
2021-2022,Liverpool,England,28,27.3,13,143,28,21,49,27,1,2,15.0,0.0
2021-2022,Malmö,Sweden,21,28.4,6,66,1,1,2,1,0,0,14.0,1.0
2021-2022,Manchester City,England,26,27.2,12,132,28,23,51,26,2,2,22.0,1.0
2021-2022,Manchester Utd,England,31,27.2,8,88,12,11,23,12,0,0,17.0,1.0
2021-2022,Milan,Italy,23,26.0,6,66,5,4,9,5,0,0,17.0,1.0
2021-2022,Paris S-G,France,21,27.3,8,88,15,8,23,13,2,4,21.0,0.0
2021-2022,Porto,Portugal,22,26.3,6,66,4,3,7,3,1,1,17.0,3.0
2021-2022,RB Leipzig,Germany,23,25.0,6,66,15,13,28,13,2,3,13.0,1.0
2021-2022,RB Salzburg,Austria,21,22.9,8,88,10,6,16,7,3,5,16.0,0.0
2021-2022,Real Madrid,Spain,25,28.0,13,143,28,21,49,25,3,3,25.0,0.0
2021-2022,Sevilla,Spain,22,28.9,6,66,5,3,8,3,2,2,20.0,2.0
2021-2022,Shakhtar,Ukraine,25,25.2,6,66,2,2,4,2,0,0,5.0,0.0
2021-2022,Sheriff Tiraspol,Moldova,19,26.0,6,66,7,5,12,7,0,0,13.0,0.0
2021-2022,Sporting CP,Portugal,27,26.7,8,88,14,10,24,12,2,3,21.0,0.0
2021-2022,Villarreal,Spain,25,28.0,12,132,20,16,36,18,2,2,26.0,2.0
2021-2022,Wolfsburg,Germany,21,26.1,6,66,5,4,9,5,0,0,25.0,2.0
2021-2022,Young Boys,Switzerland,24,25.5,6,66,7,4,11,7,0,0,11.0,0.0
2021-2022,ruZen,Italy,21,27.9,6,66,9,6,15,8,1,2,9.0,1.0
2020-2021,Ajax,The Netherlands,21,24.7,6,66,7,5,12,6,1,1,11.0,1.0
2020-2021,Atalanta,Italy,25,27.5,8,88,11,10,21,11,0,0,11.0,1.0
2020-2021,Atlético Madrid,Spain,20,27.0,8,88,7,6,13,7,0,0,17.0,1.0
2020-2021,Barcelona,Spain,27,26.0,8,88,18,12,30,12,6,7,12.0,1.0
2020-2021,Başakşehir,Türkiye,21,29.5,6,66,7,5,12,7,0,0,18.0,0.0
2020-2021,Bayern Munich,Germany,26,27.0,10,110,25,18,43,22,3,3,20.0,1.0
2020-2021,Chelsea,England,24,26.2,13,143,23,16,39,18,5,6,20.0,0.0
2020-2021,Club Brugge,Belgium,22,25.8,6,66,8,4,12,6,2,2,10.0,1.0
2020-2021,Dortmund,Germany,26,25.8,10,110,19,11,30,17,2,2,9.0,0.0
2020-2021,Dynamo Kyiv,Ukraine,22,24.4,6,66,4,1,5,3,1,1,9.0,1.0
2020-2021,Ferencváros,Hungary,20,27.8,6,66,5,3,8,4,1,1,16.0,0.0
2020-2021,Inter,Italy,21,28.3,6,66,7,6,13,7,0,0,22.0,1.0
2020-2021,Juventus,Italy,22,27.6,8,88,17,14,31,15,2,2,22.0,1.0
2020-2021,Krasnodar,Russia,23,27.8,6,66,6,4,10,5,1,1,10.0,0.0
2020-2021,Lazio,Italy,25,29.0,8,88,12,8,20,9,3,3,23.0,0.0
2020-2021,Liverpool,England,29,26.0,10,110,14,10,24,13,1,1,17.0,0.0
2020-2021,Loko Moscow,Russia,22,28.5,6,66,5,3,8,3,2,2,12.0,0.0
2020-2021,M'Gladbach,Germany,21,27.0,8,88,15,9,24,13,2,2,12.0,0.0
2020-2021,Manchester City,England,25,26.1,13,143,24,18,42,22,2,2,18.0,0.0
2020-2021,Manchester Utd,England,23,25.7,6,66,14,7,21,10,4,4,13.0,1.0
2020-2021,Marseille,France,20,27.5,6,66,2,0,2,0,2,3,15.0,1.0
2020-2021,Midtjylland,Denmark,22,25.5,6,66,4,2,6,2,2,2,12.0,1.0
2020-2021,Olympiacos,Greece,21,28.7,6,66,2,2,4,2,0,0,11.0,1.0
2020-2021,Paris S-G,France,23,27.3,12,132,21,16,37,18,3,4,31.0,4.0
2020-2021,Porto,Portugal,26,27.0,10,110,15,6,21,11,4,4,23.0,2.0
2020-2021,RB Leipzig,Germany,20,24.8,8,88,11,10,21,10,1,1,21.0,0.0
2020-2021,RB Salzburg,Austria,19,24.9,6,66,9,6,15,9,0,0,11.0,0.0
2020-2021,Real Madrid,Spain,25,27.9,12,132,18,13,31,16,2,2,24.0,0.0
2020-2021,frRenn,Spain,26,25.7,6,66,3,1,4,1,2,2,17.0,1.0
2020-2021,Sevilla,Spain,25,27.9,8,88,13,8,21,12,1,1,20.0,1.0
2020-2021,Shakhtar,Ukraine,23,24.7,6,66,4,3,7,4,0,0,7.0,0.0
2020-2021,ruZen,Italy,21,27.8,6,66,3,3,6,3,0,0,13.0,0.0
2019-2020,Ajax,The Netherlands,19,24.9,6,66,10,10,20,10,0,0,20.0,2.0
2019-2020,Atalanta,Italy,23,27.4,9,99,17,9,26,13,4,5,25.0,0.0
2019-2020,Atlético Madrid,Spain,21,26.2,9,99,13,9,22,11,2,3,16.0,0.0
2019-2020,Barcelona,Spain,24,27.6,9,99,13,10,23,12,1,1,25.0,1.0
2019-2020,Bayern Munich,Germany,20,27.0,11,121,43,37,80,41,2,2,13.0,0.0
2019-2020,Benfica,Portugal,23,24.9,6,66,9,5,14,8,1,1,8.0,0.0
2019-2020,Chelsea,England,22,25.5,8,88,12,7,19,10,2,3,14.0,1.0
2019-2020,Club Brugge,Belgium,22,25.4,6,66,4,3,7,4,0,1,17.0,3.0
2019-2020,Dinamo Zagreb,Croatia,21,25.7,6,66,10,9,19,9,1,1,16.0,1.0
2019-2020,Dortmund,Germany,24,25.8,8,88,10,9,19,10,0,1,14.0,2.0
2019-2020,Galatasaray,Türkiye,20,29.7,6,66,1,1,2,1,0,0,21.0,0.0
2019-2020,Genk,Belgium,20,23.5,6,66,5,4,9,5,0,0,10.0,0.0
2019-2020,Inter,Italy,20,27.9,6,66,10,9,19,10,0,1,17.0,0.0
2019-2020,Juventus,Italy,23,28.7,8,88,14,10,24,13,1,1,10.0,0.0
2019-2020,Leverkusen,Germany,20,26.7,6,66,2,2,4,2,0,0,7.0,1.0
2019-2020,Lille,France,21,23.9,6,66,4,4,8,4,0,0,14.0,0.0
2019-2020,Liverpool,England,20,27.0,8,88,15,11,26,15,0,0,9.0,0.0
2019-2020,Loko Moscow,Russia,20,28.6,6,66,4,2,6,4,0,0,12.0,0.0
2019-2020,Lyon,France,24,25.0,10,110,14,9,23,12,2,2,22.0,0.0
2019-2020,Manchester City,England,23,26.9,9,99,21,18,39,19,2,3,15.0,2.0
2019-2020,Napoli,Italy,24,27.1,8,88,13,6,19,9,4,4,14.0,0.0
2019-2020,Olympiacos,Greece,17,26.2,6,66,8,5,13,6,2,2,14.0,1.0
2019-2020,Paris S-G,France,24,27.4,11,121,25,20,45,24,1,1,29.0,0.0
2019-2020,RB Leipzig,Germany,25,24.2,10,110,16,10,26,12,4,4,20.0,0.0
2019-2020,RB Salzburg,Austria,21,24.1,6,66,16,13,29,14,2,2,8.0,0.0
2019-2020,Real Madrid,Spain,25,27.3,8,88,16,14,30,15,1,1,13.0,1.0
2019-2020,Red Star,Serbia,19,27.5,6,66,3,2,5,3,0,1,14.0,0.0
2019-2020,Shakhtar,Ukraine,18,28.4,6,66,8,6,14,7,1,1,11.0,2.0
