Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
2021-2022,R16,frLille,8,3,2,3,8,8,0,11,"37,824","Jonathan David,Burak Yılmaz-3",Ivo Grbić
2021-2022,R16,atRB Salzburg,8,3,2,3,10,14,-4,11,"20,812","Karim Adeyemi,Noah Okafor-3",Philipp Köhn
2021-2022,R16,ptSporting CP,8,3,1,4,14,17,-3,10,"37,672",Pedro Gonçalves-4,Antonio Adán
2021-2022,GR,deDortmund,6,3,0,3,10,11,-1,9,"31,607","Marco Reus,Donyell Malen... -3",Gregor Kobel
2021-2022,GR,deRB Leipzig,6,2,1,3,15,14,+1,7,"21,098",Christopher Nkunku-7,Péter Gulácsi
2021-2022,GR,mdSheriff Tiraspol,6,2,1,3,7,11,-4,7,"5,689","Adama Traoré,Sébastien Thill-2",Giorgos Athanasiadis
2021-2022,GR,esBarcelona,6,2,1,3,2,9,-7,7,"45,092","Gerard Piqué,Ansu Fati-1",Marc-André ter Stegen
2021-2022,GR,esSevilla,6,1,3,2,5,5,0,6,"25,468",Ivan Rakitić-2,Yassine Bounou
2021-2022,GR,itAtalanta,6,1,3,2,12,13,-1,6,"11,556",Duván Zapata-3,Juan Musso
2021-2022,GR,ruZenit,6,1,2,3,10,10,0,5,"21,135","Claudinho,Sardar Azmoun-2",Stanislav Kritsyuk
2021-2022,GR,chYoung Boys,6,1,2,3,7,12,-5,5,"29,879",Jordan Pefok-2,"Guillaume Faivre,David von Ballmoos"
2021-2022,GR,deWolfsburg,6,1,2,3,5,10,-5,5,"11,463","Lukas Nmecha,Renato Steffen-2",Koen Casteels
2021-2022,GR,ptPorto,6,1,2,3,4,11,-7,5,"31,493",Luis Díaz-2,Diogo Costa
2021-2022,GR,itMilan,6,1,1,4,6,9,-3,4,"43,762","Rafael Leão,Junior Messias... -1","Mike Maignan,Ciprian Tătărușanu"
2021-2022,GR,beClub Brugge,6,1,1,4,6,20,-14,4,"25,511",Hans Vanaken-3,Simon Mignolet
2021-2022,GR,uaShakhtar,6,0,2,4,2,12,-10,2,"22,349",Fernando-2,Anatolii Trubin
2021-2022,GR,uaDynamo Kyiv,6,0,1,5,1,11,-10,1,"27,256",Denys Harmash-1,Heorhiy Bushchan
2021-2022,GR,seMalmö,6,0,1,5,1,14,-13,1,"13,634",Søren Rieks-1,Johan Dahlin
2021-2022,GR,trBeşiktaş,6,0,0,6,3,19,-16,0,"19,031","Francisco Montero,Cyle Larin... -1",Ersin Destanoğlu
2020-2021,W,engChelsea,13,9,3,1,23,4,+19,30,333,Olivier Giroud-6,Edouard Mendy
2020-2021,F,engManchester City,13,11,1,1,25,5,+20,34,"2,016","Riyad Mahrez,Ferrán Torres-4",Ederson
2020-2021,SF,esReal Madrid,12,6,3,3,19,14,+5,21,Karim Benzema-6,Thibaut Courtois
2020-2021,SF,frParis S-G,12,6,1,5,22,15,+7,19,Kylian Mbappé-8,Keylor Navas
2020-2021,QF,deBayern Munich,10,8,1,1,27,10,+17,25,Robert Lewandowski-5,Manuel Neuer
2020-2021,QF,engLiverpool,10,6,2,2,15,6,+9,20,Mohamed Salah-6,Alisson
2020-2021,QF,ptPorto,10,6,1,3,15,9,+6,19,490,Sérgio Oliveira-5,Agustín Marchesín
2020-2021,QF,deDortmund,10,5,2,3,19,13,+6,17,Erling Haaland-10,Marwin Hitz
2020-2021,R16,itJuventus,8,6,0,2,18,8,+10,18,Álvaro Morata-6,Wojciech Szczęsny
2020-2021,R16,esBarcelona,8,5,1,2,18,10,+8,16,Lionel Messi-5,Marc-André ter Stegen
2020-2021,R16,esSevilla,8,4,2,2,13,13,0,14,Youssef En-Nesyri-6,Yassine Bounou
2020-2021,R16,deRB Leipzig,8,4,0,4,11,16,-5,12,250,Angeliño-3,Péter Gulácsi
2020-2021,R16,itAtalanta,8,3,2,3,11,12,-1,11,"Luis Muriel,Duván Zapata-3",Marco Sportiello
2020-2021,R16,itLazio,8,2,4,2,13,13,0,10,250,Ciro Immobile-5,Pepe Reina
2020-2021,R16,esAtlético Madrid,8,2,3,3,7,11,-4,9,João Félix-3,Jan Oblak
2020-2021,R16,deM'Gladbach,8,2,2,4,16,13,+3,8,Alassane Pléa-5,Yann Sommer
2020-2021,GR,engManchester Utd,6,3,0,3,15,10,+5,9,374,Marcus Rashford-6,David de Gea
2020-2021,GR,beClub Brugge,6,2,2,2,8,10,-2,8,Hans Vanaken-3,Simon Mignolet
2020-2021,GR,uaShakhtar,6,2,2,2,5,12,-7,8,"3,393",Manor Solomon-2,Anatolii Trubin
2020-2021,GR,nlAjax,6,2,1,3,7,7,0,7,Dušan Tadić-2,André Onana
2020-2021,GR,itInter,6,1,3,2,7,9,-2,6,333,Romelu Lukaku-4,Samir Handanović
2020-2021,GR,ruKrasnodar,6,1,2,3,6,11,-5,5,"9,948",Marcus Berg-2,Matvei Safonov
2020-2021,GR,atRB Salzburg,6,1,1,4,10,17,-7,4,"1,000",Mergim Berisha-4,Cican Stankovic
2020-2021,GR,uaDynamo Kyiv,6,1,1,4,4,13,-9,4,"4,950",Viktor Tsyhankov-2,Heorhiy Bushchan
2020-2021,GR,ruLoko Moscow,6,0,3,3,5,10,-5,3,"7,701",Anton Miranchuk-3,Guilherme Marinato
2020-2021,GR,grOlympiacos,6,1,0,5,2,10,-8,3,"Koka,Mohamed Camara-1",José Sá
2020-2021,GR,trBaşakşehir,6,1,0,5,7,18,-11,3,233,İrfan Kahveci-3,Mert Günok
2020-2021,GR,frMarseille,6,1,0,5,2,13,-11,3,Dimitri Payet-2,Steve Mandanda
2020-2021,GR,dkMidtjylland,6,0,2,4,4,13,-9,2,88,Alexander Scholz-2,Jesper Hansen
2020-2021,GR,frRennes,6,0,1,5,3,11,-8,1,"1,658",Serhou Guirassy-2,Alfred Gomis
2020-2021,GR,ruZenit,6,0,1,5,4,13,-9,1,"14,990","Artem Dzyuba,Aleksandr Erokhin... -1",Mikhail Kerzhakov
2020-2021,GR,huFerencváros,6,0,1,5,5,17,-12,1,"8,234",Franck Boli-2,Dénes Dibusz
2019-2020,W,deBayern Munich,11,11,0,0,43,8,+35,33,"50,000",Robert Lewandowski-15,Manuel Neuer
2019-2020,F,frParis S-G,11,8,1,2,25,6,+19,25,"28,058","Mauro Icardi,Kylian Mbappé-5",Keylor Navas
2019-2020,SF,deRB Leipzig,10,6,2,2,16,12,+4,20,"32,347","Timo Werner,Marcel Sabitzer... -4",Péter Gulácsi
2019-2020,SF,frLyon,10,4,2,4,14,14,0,14,"41,780",Memphis-6,Anthony Lopes
2019-2020,QF,engManchester City,9,6,2,1,21,9,+12,20,"37,594","Raheem Sterling,Gabriel Jesus-6",Ederson
2019-2020,QF,esBarcelona,9,5,3,1,15,14,+1,18,"60,809",Luis Suárez-5,Marc-André ter Stegen
2019-2020,QF,esAtlético Madrid,9,5,1,3,13,9,+4,16,"62,232","Álvaro Morata,João Félix-3",Jan Oblak
2019-2020,QF,itAtalanta,9,4,1,4,17,18,-1,13,"32,770",Josip Iličić-5,Pierluigi Gollini
2019-2020,R16,itJuventus,8,6,1,1,14,6,+8,19,"28,390",Cristiano Ronaldo-4,Wojciech Szczęsny
2019-2020,R16,itNapoli,8,3,4,1,13,8,+5,13,"34,598",Dries Mertens-6,Alex Meret
2019-2020,R16,engLiverpool,8,4,1,3,15,12,+3,13,"52,312",Mohamed Salah-4,Alisson
2019-2020,R16,deDortmund,8,4,1,3,10,11,-1,13,"65,844",Achraf Hakimi-4,Roman Bürki
2019-2020,R16,esReal Madrid,8,3,2,3,16,12,+4,11,"70,438",Karim Benzema-5,Thibaut Courtois
2019-2020,R16,esValencia,8,3,2,3,13,15,-2,11,"31,599","Rodrigo,Denis Cheryshev... -2",Jasper Cillessen
2019-2020,R16,engChelsea,8,3,2,3,12,16,-4,11,"38,845",Tammy Abraham-3,Kepa Arrizabalaga
2019-2020,R16,engTottenham,8,3,1,4,18,18,0,10,"57,247",Harry Kane-6,"Hugo Lloris,Paulo Gazzaniga"
2019-2020,GR,nlAjax,6,3,1,2,12,6,+6,10,"51,951",Quincy Promes-4,André Onana
2019-2020,GR,atRB Salzburg,6,2,1,3,16,13,+3,7,"29,520",Erling Haaland-8,Cican Stankovic
2019-2020,GR,itInter,6,2,1,3,10,9,+1,7,"62,540",Lautaro Martínez-5,Samir Handanović
2019-2020,GR,ptBenfica,6,2,1,3,10,11,-1,7,"46,576",Pizzi-3,Odisseas Vlachodimos
2019-2020,GR,ruZenit,6,2,1,3,7,9,-2,7,"51,106","Sardar Azmoun,Artem Dzyuba-2",Mikhail Kerzhakov
2019-2020,GR,deLeverkusen,6,2,0,4,5,9,-4,6,"28,098","Sven Bender,Kevin Volland-1",Lukáš Hrádecký
2019-2020,GR,uaShakhtar,6,1,3,2,8,13,-5,6,"28,246","Júnior Moraes,Manor Solomon-2",Andriy Pyatov
2019-2020,GR,hrDinamo Zagreb,6,1,2,3,10,13,-3,5,"28,855",Mislav Oršić-4,Dominik Livaković
2019-2020,GR,grOlympiacos,6,1,1,4,8,14,-6,4,"31,523",Youssef El-Arabi-3,José Sá
2019-2020,GR,ruLoko Moscow,6,1,0,5,4,11,-7,3,"26,557",Aleksei Miranchuk-2,Guilherme Marinato
2019-2020,GR,beClub Brugge,6,0,3,3,4,12,-8,3,"26,957",Emmanuel Dennis-2,Simon Mignolet
2019-2020,GR,rsRed Star,6,1,0,5,3,20,-17,3,"43,263","Richmond Boakye,Nemanja Milunović... -1",Milan Borjan
2019-2020,GR,czSlavia Prague,6,0,2,4,4,10,-6,2,"19,303",Tomáš Souček-2,Ondřej Kolář
2019-2020,GR,trGalatasaray,6,0,2,4,1,14,-13,2,"43,306",Adem Büyük-1,Fernando Muslera
2019-2020,GR,frLille,6,0,1,5,4,14,-10,1,"48,208",Victor Osimhen-2,Mike Maignan
2019-2020,GR,beGenk,6,0,1,5,5,20,-15,1,"18,957",Mbwana Samatta-3,Gaëtan Coucke
