Season,Rk,Squad,Country,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Top Team Scorer Goals
2007-2008,R16,Milan,Italy,8.0,4.0,2.0,2.0,12.0,7.0,5.0,14.0,48874.0,Filippo Inzaghi,Zeljko Kalac,4.0
2007-2008,R16,Porto,Portugal,8.0,4.0,2.0,2.0,9.0,8.0,1.0,14.0,44285.0,Lisandro López,Helton Arruda,3.0
2007-2008,R16,Olympiacos,Greece,8.0,3.0,3.0,2.0,11.0,10.0,1.0,12.0,23775.0,"Darko Kovačević,Luciano Galletti... ",Antonios Nikopolidis,3.0
2007-2008,R16,Real Madrid,Spain,8.0,3.0,2.0,3.0,15.0,13.0,2.0,11.0,75532.0,Raúl,Iker Casillas,5.0
2007-2008,R16,Lyon,France,8.0,3.0,2.0,3.0,12.0,12.0,0.0,11.0,38308.0,Karim Benzema,Rémy Vercoutre,4.0
2007-2008,R16,Celtic,Scotland,10.0,3.0,2.0,5.0,9.0,12.0,-3.0,11.0,58757.0,"Jiří Jarošík,Scott McDonald... ",Artur Boruc,1.0
2007-2008,GR,Rosenborg,Norway,10.0,6.0,1.0,3.0,21.0,12.0,9.0,19.0,18787.0,"Yssouf Koné,Steffen Iversen",Lars Hirschfeld,2.0
2007-2008,GR,Rangers,Scotland,10.0,5.0,2.0,3.0,11.0,9.0,2.0,17.0,50061.0,Charlie Adam,Allan McGregor,2.0
2007-2008,GR,Beşiktaş,Türkiye,10.0,5.0,1.0,4.0,11.0,16.0,-5.0,16.0,25649.0,Bobô,Hakan Arıkan,2.0
2007-2008,GR,Shakhtar,Ukraine,10.0,5.0,0.0,5.0,13.0,14.0,-1.0,15.0,26667.0,Cristiano Lucarelli,Andriy Pyatov,3.0
2007-2008,GR,Benfica,Portugal,8.0,4.0,1.0,3.0,8.0,7.0,1.0,13.0,42101.0,Óscar Cardozo,Quim,3.0
2007-2008,GR,Slavia Prague,Czech Republic,10.0,3.0,4.0,3.0,8.0,17.0,-9.0,13.0,17333.0,Zdeněk Šenkeřík,Martin Vaniak,2.0
2007-2008,GR,Werr Bremen,Germany,8.0,4.0,0.0,4.0,13.0,16.0,-3.0,12.0,36812.0,Boubacar Sanogo,Tim Wiese,3.0
2007-2008,GR,Valencia,Spain,8.0,3.0,2.0,3.0,7.0,7.0,0.0,11.0,36500.0,David Villa,Santiago Cañizares,2.0
2007-2008,GR,Steaua,Romania,10.0,3.0,2.0,5.0,11.0,13.0,-2.0,11.0,20333.0,"Valentin Badea,Dorin Goian... ",Róbinson Zapata,1.0
2007-2008,GR,Lazio,Italy,8.0,2.0,3.0,3.0,12.0,13.0,-1.0,9.0,45567.0,Goran Pandev,Marco Ballotta,4.0
2007-2008,GR,Sporting CP,Portugal,6.0,2.0,1.0,3.0,9.0,8.0,1.0,7.0,31305.0,Liédson,"Rui Patrício,Vladimir Stojković...",4.0
2007-2008,GR,Marseille,France,6.0,2.0,1.0,3.0,6.0,9.0,-3.0,7.0,53032.0,Mamadou Niang,Steve Mandanda,2.0
2007-2008,GR,PSV Eindhoven,The Netherlands,6.0,2.0,1.0,3.0,3.0,6.0,-3.0,7.0,34333.0,"Jefferson Farfán,Danko Lazović... ",Heurelho Gomes,1.0
2007-2008,GR,Dynamo Kyiv,Ukraine,8.0,2.0,0.0,6.0,8.0,19.0,-11.0,6.0,32667.0,Ismaël Bangoura,Oleksandr Shovkovskiy,2.0
2007-2008,GR,Stuttgart,Germany,6.0,1.0,0.0,5.0,7.0,15.0,-8.0,3.0,51300.0,Mario Gómez,Raphael Schäfer,3.0
