Season,Rk,Squad,Country,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Top Team Scorer Goals
2003-2004,QF,Milan,Italy,10.0,5.0,2.0,3.0,12.0,9.0,3.0,17.0,47132.0,"Kaká,Andriy Shevchenko",Dida,4.0
2003-2004,QF,Lyon,France,10.0,5.0,2.0,3.0,11.0,11.0,0.0,17.0,38740.0,Juninho Pernambucano,Grégory Coupet,5.0
2003-2004,R16,Manchester Utd,England,8.0,5.0,1.0,2.0,15.0,5.0,10.0,16.0,66849.0,Ruud van Nistelrooy,Tim Howard,4.0
2003-2004,R16,Loko Moscow,Russia,10.0,4.0,2.0,4.0,12.0,11.0,1.0,14.0,26750.0,Dmitri Loskov,Sergei Ovchinnikov,2.0
2003-2004,R16,Juventus,Italy,8.0,4.0,1.0,3.0,15.0,8.0,7.0,13.0,17231.0,David Trezeguet,Gianluigi Buffon,4.0
2003-2004,R16,Stuttgart,Germany,8.0,4.0,1.0,3.0,9.0,7.0,2.0,13.0,46919.0,Kevin Kurányi,Timo Hildebrand,3.0
2003-2004,R16,Sparta Prague,Czech Republic,10.0,3.0,4.0,3.0,11.0,13.0,-2.0,13.0,17994.0,Karel Poborský,Jaromír Blažek,2.0
2003-2004,R16,Celta Vigo,Spain,10.0,3.0,3.0,4.0,12.0,13.0,-1.0,12.0,20803.0,José Ignacio,José Manuel Pinto,2.0
2003-2004,R16,Bayern Munich,Germany,8.0,2.0,4.0,2.0,7.0,7.0,0.0,10.0,54500.0,Roy Makaay,Oliver Kahn,5.0
2003-2004,R16,Real Sociedad,Spain,8.0,2.0,3.0,3.0,8.0,10.0,-2.0,9.0,29148.0,Darko Kovačević,Sander Westerveld,2.0
2003-2004,GR,Celtic,Scotland,10.0,6.0,1.0,3.0,18.0,7.0,11.0,19.0,58941.0,Chris Sutton,Magnus Hedman,3.0
2003-2004,GR,Anderlecht,Belgium,10.0,5.0,2.0,3.0,11.0,9.0,2.0,17.0,22053.0,Aruna Dindane,Daniel Zítka,2.0
2003-2004,GR,Dynamo Kyiv,Ukraine,8.0,4.0,1.0,3.0,13.0,9.0,4.0,13.0,79250.0,Diogo Rincón,Oleksandr Shovkovskiy,3.0
2003-2004,GR,Galatasaray,Türkiye,8.0,4.0,1.0,3.0,12.0,8.0,4.0,13.0,47929.0,Hakan Şükür,Faryd Mondragón,5.0
2003-2004,GR,Lazio,Italy,8.0,3.0,2.0,3.0,10.0,11.0,-1.0,11.0,32670.0,Simone Inzaghi,Angelo Peruzzi,3.0
2003-2004,GR,Club Brugge,Belgium,8.0,3.0,2.0,3.0,8.0,9.0,-1.0,11.0,27505.0,Rune Lange,Dany Verlinden,2.0
2003-2004,GR,PSV Eindhoven,The Netherlands,6.0,3.0,1.0,2.0,8.0,7.0,1.0,10.0,28167.0,"Wilfred Bouma,John de Jong... ",Ronald Waterreus,2.0
2003-2004,GR,Ajax,The Netherlands,8.0,3.0,1.0,4.0,9.0,9.0,0.0,10.0,49365.0,Wesley Sonck,Bogdan Lobonț,4.0
2003-2004,GR,Marseille,France,8.0,2.0,2.0,4.0,10.0,11.0,-1.0,8.0,54935.0,Didier Drogba,Vedran Runje,5.0
2003-2004,GR,Inter,Italy,6.0,2.0,2.0,2.0,8.0,11.0,-3.0,8.0,34033.0,"Daniele Adani,Christian Vieri",Francesco Toldo,2.0
2003-2004,GR,Partizan,Serbia,10.0,1.0,5.0,4.0,7.0,12.0,-5.0,8.0,31441.0,Andrija Delibašić,Đorđe Pantić,3.0
2003-2004,GR,Rangers,Scotland,8.0,2.0,2.0,4.0,7.0,12.0,-5.0,8.0,48425.0,"Emerson,Michael Mols... ",Stefan Klos,1.0
2003-2004,GR,Beşiktaş,Türkiye,6.0,2.0,1.0,3.0,5.0,7.0,-2.0,7.0,31379.0,"Daniel Pancu,Sergen Yalçın",Óscar Córdoba,2.0
2003-2004,GR,AEK Athens,Greece,8.0,1.0,2.0,5.0,4.0,13.0,-9.0,5.0,10238.0,Vasilios Tsiartas,Chrisostomos Michailidis,1.0
2003-2004,GR,Olympiacos,Greece,6.0,1.0,1.0,4.0,6.0,13.0,-7.0,4.0,13005.0,"Nery Castillo,Ieroklis Stoltidis",Fanis Katergiannakis,2.0
2003-2004,GR,Panathinaikos,Greece,6.0,1.0,1.0,4.0,5.0,13.0,-8.0,4.0,9469.0,Michalis Konstantinou,Antonios Nikopolidis,2.0
