Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2015-2016,engManchester City,22,28.4,47.8,12,132,"1,080",12.0,16,13,29,15,1,1,,
2015-2016,engManchester Utd,23,25.6,60.5,8,66,540,6.0,6,5,11,5,1,1,,
2015-2016,grOlympiacos,18,25.9,42.8,6,66,540,6.0,5,5,10,5,0,1,,
2015-2016,frParis S-G,21,27.9,59.8,10,110,900,10.0,17,15,32,17,0,1,,
2015-2016,ptPorto,18,25.9,52.7,6,66,540,6.0,9,7,16,9,0,0,,
2015-2016,nlPSV Eindhoven,22,24.1,48.5,8,88,750,8.3,8,8,16,8,0,1,,
2015-2016,esReal Madrid,22,26.7,53.9,13,143,"1,200",13.3,27,17,44,25,2,0,,
2015-2016,itRoma,24,26.0,43.8,8,88,720,8.0,11,8,19,10,1,2,,
2015-2016,esSevilla,19,27.0,53.5,6,66,540,6.0,8,4,12,5,3,4,,
2015-2016,uaShakhtar,22,27.5,55.2,10,66,540,6.0,7,4,11,5,2,2,,
2015-2016,esValencia,22,24.6,51.7,8,66,540,6.0,3,2,5,3,0,0,,
2015-2016,deWolfsburg,22,27.0,48.3,10,110,900,10.0,14,10,24,13,1,1,,
2015-2016,ruZenit,24,28.4,45.6,8,88,720,8.0,14,13,27,14,0,0,,
2014-2015,nlAjax,19,23.6,54.2,6,66,540,6.0,8,6,14,7,1,1,0,0
2014-2015,beAnderlecht,21,23.7,44.3,6,66,540,6.0,8,4,12,7,1,1,0,0
2014-2015,cyAPOEL FC,21,28.9,32.7,10,66,540,6.0,1,0,1,0,1,1,0,0
2014-2015,engArsenal,29,25.4,54.3,10,88,720,8.0,18,9,27,17,1,1,0,0
2014-2015,esAthletic Club,20,26.9,48.2,8,66,540,6.0,5,5,10,5,0,0,0,0
2014-2015,esAtlético Madrid,23,27.4,44.7,10,110,930,10.3,15,10,25,15,0,0,0,0
2014-2015,esBarcelona,22,26.8,60.2,13,143,"1,170",13.0,31,26,57,31,0,1,0,0
2014-2015,chBasel,23,25.1,45.9,8,88,720,8.0,8,6,14,8,0,0,0,0
2014-2015,byBATE Borisov,20,25.3,38.3,12,66,540,6.0,2,1,3,2,0,0,0,0
2014-2015,deBayern Munich,24,26.7,60.3,12,132,"1,080",12.0,33,23,56,29,4,4,0,0
2014-2015,ptBenfica,24,27.5,50.3,6,66,540,6.0,2,2,4,2,0,0,0,0
2014-2015,engChelsea,24,27.1,53.8,8,88,750,8.3,18,12,30,14,4,5,0,0
2014-2015,ruCSKA Moscow,18,27.0,36.7,6,66,540,6.0,6,4,10,5,1,1,0,0
2014-2015,deDortmund,24,26.5,51.9,8,88,720,8.0,14,12,26,14,0,0,0,0
2014-2015,trGalatasaray,22,27.7,51.5,6,66,540,6.0,4,2,6,3,1,1,0,0
2014-2015,itJuventus,24,29.3,54.0,13,143,"1,170",13.0,16,11,27,14,2,3,0,0
2014-2015,deLeverkusen,21,25.2,51.8,10,88,750,8.3,8,7,15,7,1,1,0,0
2014-2015,engLiverpool,21,25.7,49.2,6,66,540,6.0,5,1,6,4,1,1,0,0
2014-2015,bgLudogorets,19,27.4,48.5,12,66,540,6.0,5,4,9,5,0,0,0,0
2014-2015,seMalmö,17,25.1,43.0,12,66,540,6.0,4,2,6,4,0,0,0,0
2014-2015,engManchester City,20,28.7,49.8,8,88,720,8.0,10,4,14,8,2,3,0,0
2014-2015,frMonaco,22,25.9,46.1,10,110,900,10.0,7,7,14,7,0,0,0,0
2014-2015,siNK Maribor,17,27.3,41.5,12,66,540,6.0,3,1,4,3,0,1,0,0
2014-2015,grOlympiacos,19,26.7,47.7,6,66,540,6.0,10,8,18,10,0,0,0,0
2014-2015,frParis S-G,19,27.2,47.7,10,110,930,10.3,13,11,24,13,0,0,0,0
2014-2015,ptPorto,23,24.4,56.3,12,110,900,10.0,25,12,37,22,3,5,0,0
2014-2015,esReal Madrid,23,26.4,56.1,12,132,"1,080",12.0,23,19,42,20,3,4,0,0
2014-2015,itRoma,20,28.3,46.8,6,66,540,6.0,7,5,12,7,0,0,0,0
2014-2015,deSchalke 04,26,25.6,51.4,8,88,720,8.0,12,8,20,11,1,1,0,0
2014-2015,uaShakhtar,20,27.0,49.1,8,88,720,8.0,15,11,26,12,3,3,0,0
2014-2015,ptSporting CP,19,24.1,49.2,6,66,540,6.0,12,5,17,9,3,3,0,0
2014-2015,ruZenit,18,27.6,52.8,10,66,540,6.0,4,4,8,4,0,0,0,0
2013-2014,nlAjax,21,23.5,,6,66,,,5,3,8,5,0,1,0,0
2013-2014,beAnderlecht,21,23.3,,6,66,,,4,4,8,4,0,1,0,0
2013-2014,engArsenal,24,26.9,,10,88,,,9,8,17,9,0,2,0,0
2013-2014,esAtlético Madrid,24,26.7,,13,143,,,26,18,44,25,1,2,0,0
2013-2014,atAustria Wien,19,26.1,,10,66,,,5,4,9,5,0,0,0,0
2013-2014,esBarcelona,24,27.6,,10,110,,,21,16,37,18,3,3,0,0
2013-2014,chBasel,19,25.2,,10,66,,,5,6,11,5,0,0,0,0
2013-2014,deBayern Munich,22,26.5,,12,132,,,24,20,44,22,2,4,0,0
2013-2014,ptBenfica,21,27.0,,6,66,,,7,4,11,6,1,1,0,0
2013-2014,sctCeltic,19,25.7,,12,66,,,3,1,4,2,1,1,0,0
2013-2014,engChelsea,22,28.1,,12,132,,,18,14,32,17,1,1,0,0
2013-2014,ruCSKA Moscow,20,26.2,,6,66,,,7,5,12,5,2,2,0,0
2013-2014,deDortmund,23,25.9,,10,110,,,17,11,28,15,2,2,0,0
2013-2014,dkFC Copenhagen,19,27.5,,6,66,,,4,3,7,4,0,0,0,0
2013-2014,trGalatasaray,23,28.3,,8,88,,,9,8,17,9,0,0,0,0
2013-2014,itJuventus,21,28.3,,6,66,,,9,5,14,5,4,4,0,0
2013-2014,deLeverkusen,21,25.4,,8,88,,,10,5,15,9,1,2,0,0
2013-2014,engManchester City,21,27.5,,8,88,,,19,15,34,16,3,3,0,0
2013-2014,engManchester Utd,24,27.7,,10,110,,,15,11,26,14,1,2,0,0
2013-2014,frMarseille,19,26.6,,6,66,,,5,4,9,4,1,1,0,0
2013-2014,itMilan,25,28.4,,10,88,,,7,4,11,6,1,1,0,0
2013-2014,itNapoli,19,27.5,,6,66,,,10,8,18,10,0,0,0,0
2013-2014,grOlympiacos,23,26.4,,8,88,,,12,10,22,11,1,3,0,0
2013-2014,frParis S-G,21,26.8,,10,110,,,24,20,44,23,1,2,0,0
2013-2014,ptPorto,18,26.2,,6,66,,,4,4,8,4,0,1,0,0
2013-2014,esReal Madrid,22,26.5,,13,143,,,41,35,76,39,2,4,0,0
2013-2014,esReal Sociedad,23,26.0,,8,66,,,1,0,1,1,0,1,0,0
2013-2014,deSchalke 04,25,25.0,,10,88,,,8,6,14,8,0,0,0,0
2013-2014,uaShakhtar,17,26.9,,6,66,,,7,4,11,7,0,0,0,0
2013-2014,roSteaua,21,26.5,,12,66,,,2,2,4,2,0,0,0,0
2013-2014,czViktoria Plzeň,18,28.9,,12,66,,,6,6,12,6,0,0,0,0
2013-2014,ruZenit,21,27.4,,12,88,,,8,5,13,7,1,2,0,0
2012-2013,nlAjax,18,24.4,,6,66,,,8,6,14,8,0,0,7,0
2012-2013,beAnderlecht,20,26.3,,10,66,,,4,4,8,4,0,0,17,1
2012-2013,engArsenal,28,25.6,,8,88,,,13,14,27,13,0,0,26,0
2012-2013,esBarcelona,25,26.9,,12,132,,,18,14,32,17,1,1,25,1
2012-2013,byBATE Borisov,19,26.7,,12,66,,,9,7,16,9,0,0,17,1
2012-2013,deBayern Munich,21,26.3,,13,143,,,30,24,54,29,1,2,30,1
2012-2013,ptBenfica,20,25.6,,6,66,,,5,4,9,5,0,1,16,0
2012-2013,ptBraga,20,27.6,,8,66,,,7,4,11,6,1,1,11,1
2012-2013,sctCeltic,19,25.2,,12,88,,,8,5,13,7,1,1,16,0
2012-2013,roCFR Cluj,19,27.4,,10,66,,,8,7,15,8,0,0,9,1
2012-2013,engChelsea,19,26.3,,6,66,,,16,9,25,15,1,2,6,0
2012-2013,hrDinamo Zagreb,19,24.0,,12,66,,,1,0,1,0,1,1,8,0
2012-2013,deDortmund,20,25.0,,13,143,,,23,16,39,21,2,3,13,0
2012-2013,uaDynamo Kyiv,21,25.9,,10,66,,,5,5,10,5,0,0,13,0
2012-2013,trGalatasaray,22,27.6,,10,110,,,14,12,26,14,0,0,26,0
2012-2013,itJuventus,24,28.1,,10,110,,,16,14,30,16,0,0,20,0
2012-2013,frLille,22,27.1,,8,66,,,4,3,7,4,0,0,18,1
2012-2013,esMálaga,24,28.2,,12,110,,,16,14,30,15,1,2,23,0
2012-2013,engManchester City,21,26.3,,6,66,,,7,3,10,5,2,2,15,0
2012-2013,engManchester Utd,28,26.1,,8,88,,,10,7,17,9,1,2,13,0
2012-2013,itMilan,28,27.2,,8,88,,,8,7,15,8,0,0,21,0
2012-2013,frMontpellier,25,26.1,,6,66,,,6,2,8,4,2,2,15,1
2012-2013,dkNordsjælland,19,26.4,,6,66,,,4,3,7,4,0,1,14,0
2012-2013,grOlympiacos,20,27.5,,6,66,,,9,6,15,9,0,0,13,0
2012-2013,frParis S-G,25,26.8,,10,110,,,20,16,36,19,1,1,22,1
2012-2013,ptPorto,19,25.5,,8,88,,,11,9,20,11,0,0,15,1
2012-2013,esReal Madrid,25,26.5,,12,132,,,26,24,50,26,0,0,25,2
2012-2013,deSchalke 04,23,24.8,,8,88,,,13,10,23,12,1,2,17,0
2012-2013,uaShakhtar,18,26.8,,8,88,,,14,10,24,14,0,0,15,0
2012-2013,ruSpartak Moscow,23,26.0,,8,66,,,5,5,10,5,0,0,18,3
2012-2013,esValencia,23,26.5,,8,88,,,14,7,21,11,3,3,21,2
2012-2013,ruZenit,21,28.8,,6,66,,,6,3,9,5,1,1,15,1
2011-2012,nlAjax,20,23.5,,6,66,,,6,4,10,6,0,0,6,0
2011-2012,cyAPOEL FC,23,30.6,,16,110,,,9,7,16,7,2,2,27,1
2011-2012,engArsenal,29,25.4,,10,88,,,10,4,14,9,1,1,16,0
2011-2012,esBarcelona,31,26.7,,12,132,,,33,22,55,28,5,6,17,0
2011-2012,chBasel,20,24.6,,8,88,,,12,8,20,10,2,2,18,1
2011-2012,byBATE Borisov,21,24.9,,12,66,,,2,0,2,1,1,1,8,0
2011-2012,deBayern Munich,21,25.5,,15,143,,,26,15,41,25,1,3,29,1
2011-2012,ptBenfica,22,25.9,,14,110,,,12,8,20,12,0,0,27,2
2011-2012,engChelsea,23,27.7,,13,152,,,27,21,48,25,2,3,31,1
2011-2012,ruCSKA Moscow,23,26.2,,8,88,,,11,10,21,11,0,0,16,1
2011-2012,hrDinamo Zagreb,19,24.3,,12,66,,,3,2,5,3,0,0,18,1
2011-2012,deDortmund,20,24.2,,6,66,,,6,4,10,5,1,1,7,0
2011-2012,beGenk,20,24.9,,10,66,,,2,2,4,2,0,0,9,0
2011-2012,itInter,25,29.8,,8,88,,,10,8,18,9,1,1,16,0
2011-2012,deLeverkusen,21,24.8,,8,88,,,10,6,16,10,0,0,20,0
2011-2012,frLille,20,27.6,,6,66,,,5,3,8,5,0,0,15,0
2011-2012,frLyon,20,25.9,,10,88,,,10,8,18,10,0,0,15,0
2011-2012,engManchester City,20,25.7,,6,66,,,8,5,13,7,1,1,10,0
2011-2012,engManchester Utd,24,26.1,,6,66,,,10,6,16,8,2,2,8,1
2011-2012,frMarseille,22,26.4,,10,110,,,9,5,14,8,1,1,23,3
2011-2012,itMilan,27,29.1,,10,110,,,16,12,28,14,2,2,25,0
2011-2012,itNapoli,19,28.4,,8,88,,,13,10,23,12,1,1,21,1
2011-2012,grOlympiacos,22,28.1,,6,66,,,8,4,12,8,0,0,10,0
2011-2012,roOțelul Galați,22,25.8,,6,66,,,3,0,3,2,1,1,15,2
2011-2012,ptPorto,20,25.1,,6,66,,,6,3,9,5,1,2,19,1
2011-2012,esReal Madrid,24,25.8,,12,132,,,34,27,61,32,2,2,24,1
2011-2012,uaShakhtar,20,25.9,,6,66,,,6,4,10,6,0,1,17,2
2011-2012,trTrabzonspor,18,27.5,,8,66,,,3,1,4,2,1,1,15,0
2011-2012,esValencia,19,26.0,,6,66,,,12,8,20,11,1,1,11,0
2011-2012,czViktoria Plzeň,19,28.5,,12,66,,,4,4,8,4,0,0,16,0
2011-2012,esVillarreal,23,26.2,,8,66,,,2,1,3,2,0,0,20,0
2011-2012,ruZenit,20,28.3,,8,88,,,10,6,16,10,0,1,18,1
2010-2011,nlAjax,17,24.2,,10,66,,,6,4,10,6,0,0,10,1
2010-2011,engArsenal,25,24.8,,8,88,,,20,13,33,17,3,4,13,2
2010-2011,frAuxerre,20,27.3,,8,66,,,3,2,5,3,0,0,8,2
2010-2011,esBarcelona,25,26.6,,13,143,,,30,24,54,28,2,3,14,1
2010-2011,chBasel,18,25.7,,10,66,,,8,6,14,8,0,0,7,1
2010-2011,deBayern Munich,23,26.4,,8,88,,,17,11,28,16,1,1,17,0
2010-2011,ptBenfica,19,25.6,,6,66,,,7,6,13,7,0,0,12,1
2010-2011,ptBraga,21,27.6,,10,66,,,5,4,9,5,0,0,10,0
2010-2011,trBursaspor,21,28.0,,6,66,,,2,2,4,2,0,0,9,0
2010-2011,roCFR Cluj,22,26.5,,6,66,,,6,6,12,6,0,0,12,1
2010-2011,engChelsea,25,27.5,,10,110,,,17,10,27,15,2,2,14,1
2010-2011,dkFC Copenhagen,19,26.6,,12,88,,,6,3,9,5,1,1,12,0
2010-2011,ilHapoel Tel Aviv,19,25.9,,12,66,,,7,5,12,6,1,1,14,0
2010-2011,itInter,29,29.0,,10,110,,,18,14,32,17,1,1,17,1
2010-2011,frLyon,20,25.5,,8,88,,,12,8,20,11,1,1,15,0
2010-2011,engManchester Utd,28,27.7,,13,143,,,18,16,34,17,1,1,14,0
2010-2011,frMarseille,20,27.0,,8,88,,,12,11,23,12,0,0,11,0
2010-2011,itMilan,23,29.5,,8,88,,,7,5,12,7,0,0,23,0
2010-2011,skMŠK Žilina,19,26.1,,12,66,,,3,2,5,3,0,0,9,0
2010-2011,grPanathinaikos,21,28.2,,6,66,,,2,2,4,2,0,0,11,1
2010-2011,rsPartizan,21,26.1,,12,66,,,2,1,3,1,1,2,11,1
2010-2011,sctRangers,19,28.0,,6,66,,,3,3,6,3,0,0,10,0
2010-2011,esReal Madrid,26,25.7,,12,132,,,24,20,44,23,1,1,28,3
2010-2011,itRoma,25,29.7,,8,84,,,12,8,20,10,2,3,14,1
2010-2011,ruRubin Kazan,20,26.8,,6,66,,,2,0,2,0,2,2,10,0
2010-2011,deSchalke 04,27,25.2,,12,132,,,21,15,36,21,0,0,27,2
2010-2011,uaShakhtar,22,24.9,,10,110,,,19,14,33,18,1,1,24,0
2010-2011,ruSpartak Moscow,22,25.3,,6,66,,,6,6,12,6,0,0,7,2
2010-2011,engTottenham,25,26.6,,12,110,,,17,13,30,15,2,4,9,3
2010-2011,nlTwente,21,24.9,,6,66,,,8,2,10,7,1,1,10,0
2010-2011,esValencia,26,27.6,,8,88,,,16,10,26,15,1,1,12,0
2010-2011,deWerder Bremen,22,25.9,,8,66,,,6,6,12,6,0,0,9,1
2009-2010,cyAPOEL FC,20,30.1,,12,66,,,3,2,5,3,0,0,12,0
2009-2010,engArsenal,29,24.6,,12,109,,,21,16,37,19,2,2,19,0
2009-2010,esAtlético Madrid,21,26.4,,8,66,,,3,0,3,3,0,0,12,0
2009-2010,nlAZ Alkmaar,19,24.5,,6,66,,,4,4,8,4,0,0,9,0
2009-2010,esBarcelona,20,26.5,,12,132,,,20,16,36,20,0,0,19,1
2009-2010,deBayern Munich,22,27.2,,13,143,,,20,12,32,18,2,2,21,3
2009-2010,trBeşiktaş,22,28.4,,6,66,,,3,3,6,3,0,0,14,0
2009-2010,frBordeaux,23,26.4,,10,110,,,14,12,26,14,0,2,10,1
2009-2010,engChelsea,22,28.6,,8,86,,,11,9,20,11,0,0,14,1
2009-2010,ruCSKA Moscow,20,25.1,,10,110,,,13,12,25,13,0,0,21,2
2009-2010,huDebrecen,20,26.6,,12,66,,,5,5,10,5,0,0,7,0
2009-2010,uaDynamo Kyiv,17,25.3,,6,66,,,6,3,9,6,0,0,15,0
2009-2010,itFiorentina,23,27.6,,10,83,,,16,13,29,15,1,1,15,2
2009-2010,itInter,23,29.5,,13,143,,,17,13,30,17,0,0,30,2
2009-2010,itJuventus,22,28.7,,6,66,,,4,4,8,4,0,0,11,0
2009-2010,engLiverpool,24,26.1,,6,66,,,5,3,8,5,0,0,3,0
2009-2010,frLyon,20,25.8,,14,132,,,17,12,29,16,1,1,23,2
2009-2010,ilMaccabi Haifa,20,24.9,,12,66,,,0,0,0,0,0,0,13,2
2009-2010,engManchester Utd,27,27.3,,10,112,,,20,18,38,20,0,0,11,2
2009-2010,frMarseille,20,28.2,,6,66,,,9,5,14,9,0,1,10,2
2009-2010,itMilan,25,29.8,,8,88,,,10,7,17,8,2,2,17,0
2009-2010,grOlympiacos,24,28.8,,12,88,,,5,4,9,5,0,0,14,2
2009-2010,ptPorto,21,25.1,,8,86,,,10,7,17,9,1,1,12,2
2009-2010,sctRangers,19,27.6,,6,66,,,3,3,6,3,0,1,11,0
2009-2010,esReal Madrid,21,25.4,,8,89,,,16,9,25,15,1,1,22,0
2009-2010,ruRubin Kazan,16,27.8,,6,60,,,2,1,3,2,0,0,12,0
2009-2010,esSevilla,25,27.4,,8,88,,,13,11,24,12,1,1,9,0
2009-2010,beStandard Liège,19,23.8,,6,66,,,6,4,10,5,1,1,13,1
2009-2010,deStuttgart,20,26.1,,10,84,,,10,8,18,10,0,0,14,0
2009-2010,roUnirea Urziceni,21,27.8,,6,70,,,5,2,7,5,0,0,15,0
2009-2010,deWolfsburg,17,26.4,,6,66,,,9,7,16,8,1,1,3,1
2009-2010,chZürich,18,25.4,,10,68,,,5,3,8,4,1,1,14,1
2008-2009,dkAalborg,16,26.3,,10,62,,,7,5,12,7,0,0,8,1
2008-2009,cyAnorthosis,20,29.9,,12,64,,,7,3,10,7,0,0,10,0
2008-2009,engArsenal,24,23.9,,14,132,,,17,12,29,13,4,4,20,0
2008-2009,esAtlético Madrid,22,27.0,,10,88,,,11,8,19,11,0,0,17,0
2008-2009,esBarcelona,23,25.9,,15,144,,,31,27,58,29,2,2,22,1
2008-2009,chBasel,21,25.7,,10,65,,,2,2,4,2,0,0,7,0
2008-2009,byBATE Borisov,19,24.7,,12,68,,,3,2,5,3,0,0,14,1
2008-2009,deBayern Munich,22,28.0,,10,110,,,24,14,38,22,2,2,17,0
2008-2009,frBordeaux,17,27.2,,6,57,,,4,3,7,4,0,0,14,1
2008-2009,sctCeltic,19,26.3,,6,65,,,4,4,8,4,0,1,8,0
2008-2009,roCFR Cluj,18,26.6,,6,66,,,5,2,7,5,0,0,16,1
2008-2009,engChelsea,21,27.5,,12,129,,,20,16,36,20,0,0,30,2
2008-2009,uaDynamo Kyiv,19,24.8,,10,66,,,4,2,6,3,1,1,16,1
2008-2009,trFenerbahçe,20,27.8,,10,66,,,3,0,3,3,0,0,17,1
2008-2009,itFiorentina,19,26.7,,8,66,,,5,5,10,5,0,0,13,0
2008-2009,itInter,23,28.4,,8,87,,,7,7,14,7,0,0,12,0
2008-2009,itJuventus,25,28.7,,10,88,,,9,6,15,8,1,2,19,1
2008-2009,engLiverpool,22,26.1,,12,112,,,20,14,34,16,4,4,17,0
2008-2009,frLyon,22,26.3,,8,88,,,16,11,27,16,0,0,22,1
2008-2009,engManchester Utd,24,26.9,,13,143,,,18,12,30,18,0,0,14,1
2008-2009,frMarseille,18,25.9,,8,66,,,5,5,10,5,0,0,6,0
2008-2009,grPanathinaikos,22,27.6,,12,88,,,10,4,14,9,1,1,15,0
2008-2009,ptPorto,22,25.0,,10,109,,,12,9,21,12,0,0,16,1
2008-2009,nlPSV Eindhoven,19,26.4,,6,63,,,5,4,9,5,0,0,13,0
2008-2009,esReal Madrid,25,26.6,,8,88,,,8,5,13,8,0,0,11,0
2008-2009,itRoma,23,28.2,,8,90,,,13,10,23,13,0,0,16,0
2008-2009,uaShakhtar,22,24.8,,8,66,,,11,9,20,11,0,0,19,0
2008-2009,ptSporting CP,21,26.2,,8,88,,,9,5,14,9,0,0,13,1
2008-2009,roSteaua,20,27.2,,8,67,,,3,3,6,3,0,0,18,1
2008-2009,esVillarreal,21,27.3,,10,106,,,13,9,22,12,1,1,21,3
2008-2009,deWerder Bremen,21,25.9,,6,66,,,7,5,12,6,1,1,17,0
2008-2009,ruZenit,16,27.2,,6,63,,,4,3,7,4,0,0,11,1
2007-2008,engArsenal,24,24.2,,12,110,,,18,16,34,18,0,0,16,0
2007-2008,esBarcelona,24,26.8,,12,141,,,19,13,32,18,1,1,20,0
2007-2008,ptBenfica,20,26.9,,8,66,,,5,4,9,5,0,0,7,1
2007-2008,trBeşiktaş,22,26.5,,10,69,,,3,2,5,3,0,0,4,0
2007-2008,sctCeltic,23,25.9,,10,89,,,6,5,11,6,0,0,12,0
2007-2008,engChelsea,24,28.0,,13,146,,,17,11,28,16,1,1,14,1
2007-2008,ruCSKA Moscow,22,24.7,,6,65,,,6,3,9,5,1,1,14,0
2007-2008,uaDynamo Kyiv,27,26.9,,8,66,,,4,4,8,4,0,0,6,0
2007-2008,trFenerbahçe,21,27.1,,12,110,,,14,8,22,14,0,0,21,1
2007-2008,itInter,24,28.8,,8,88,,,12,9,21,11,1,1,14,1
2007-2008,itLazio,21,28.3,,8,67,,,8,5,13,8,0,1,9,0
2007-2008,engLiverpool,22,26.5,,14,130,,,29,22,51,26,3,3,11,0
2007-2008,frLyon,22,27.1,,8,88,,,12,8,20,11,1,1,13,0
2007-2008,engManchester Utd,26,26.2,,13,144,,,20,15,35,19,1,1,14,0
2007-2008,frMarseille,20,25.1,,6,66,,,6,3,9,6,0,0,10,0
2007-2008,itMilan,23,30.0,,8,88,,,12,9,21,11,1,1,15,0
2007-2008,grOlympiacos,23,30.1,,8,88,,,11,6,17,11,0,0,14,1
2007-2008,ptPorto,22,26.0,,8,88,,,7,5,12,5,2,2,8,1
2007-2008,nlPSV Eindhoven,21,25.9,,6,68,,,3,2,5,3,0,0,9,1
2007-2008,sctRangers,18,27.4,,10,63,,,7,5,12,6,1,1,14,1
2007-2008,esReal Madrid,23,26.2,,8,88,,,15,13,28,15,0,0,12,0
2007-2008,itRoma,22,27.9,,10,110,,,14,9,23,14,0,0,21,0
2007-2008,noRosenborg,16,27.5,,10,69,,,6,4,10,6,0,0,6,0
2007-2008,deSchalke 04,23,25.9,,10,110,,,6,6,12,6,0,0,25,0
2007-2008,esSevilla,24,27.0,,10,82,,,16,10,26,16,0,0,7,0
2007-2008,uaShakhtar,17,25.1,,10,66,,,6,3,9,5,1,1,11,0
2007-2008,czSlavia Prague,23,26.2,,10,65,,,5,3,8,5,0,0,12,0
2007-2008,ptSporting CP,23,24.9,,6,65,,,9,5,14,8,1,1,8,0
2007-2008,roSteaua,21,25.6,,10,66,,,4,3,7,4,0,0,8,0
2007-2008,deStuttgart,21,25.6,,6,82,,,7,4,11,7,0,1,8,0
2007-2008,esValencia,23,27.5,,8,66,,,2,1,3,2,0,0,6,1
2007-2008,deWerder Bremen,20,25.6,,8,80,,,8,6,14,7,1,1,6,1
2006-2007,grAEK Athens,22,27.2,,8,66,,,6,4,10,6,0,0,13,0
2006-2007,beAnderlecht,17,24.9,,6,62,,,7,6,13,7,0,0,11,1
2006-2007,engArsenal,23,25.4,,10,83,,,7,6,13,6,1,1,8,0
2006-2007,esBarcelona,21,27.1,,8,88,,,14,10,24,14,0,0,12,0
2006-2007,deBayern Munich,20,27.4,,10,109,,,16,8,24,15,1,1,19,2
2006-2007,ptBenfica,18,28.1,,8,58,,,6,4,10,6,0,0,6,0
2006-2007,frBordeaux,21,26.8,,6,66,,,6,5,11,6,0,0,6,1
2006-2007,sctCeltic,20,26.9,,8,90,,,8,4,12,7,1,1,15,0
2006-2007,engChelsea,22,26.6,,12,132,,,17,14,31,16,1,1,23,0
2006-2007,ruCSKA Moscow,19,24.4,,8,66,,,4,3,7,3,1,1,15,0
2006-2007,uaDynamo Kyiv,25,25.9,,10,66,,,5,3,8,5,0,0,12,0
2006-2007,dkFC Copenhagen,17,26.5,,10,66,,,5,3,8,5,0,0,6,0
2006-2007,trGalatasaray,24,28.0,,8,66,,,7,3,10,7,0,0,11,2
2006-2007,deHamburger SV,24,25.7,,8,66,,,7,3,10,7,0,0,12,2
2006-2007,itInter,23,29.1,,8,88,,,7,6,13,7,0,0,14,3
2006-2007,bgLevski Sofia,21,27.7,,10,66,,,1,1,2,1,0,0,7,0
2006-2007,frLille,23,25.3,,10,88,,,7,6,13,7,0,0,19,1
2006-2007,engLiverpool,25,25.9,,15,135,,,19,15,34,19,0,0,19,0
2006-2007,frLyon,24,26.9,,8,88,,,12,9,21,12,0,0,17,0
2006-2007,engManchester Utd,21,27.4,,12,132,,,22,17,39,21,1,1,21,1
2006-2007,itMilan,24,29.5,,15,144,,,20,15,35,17,3,3,20,2
2006-2007,grOlympiacos,18,30.0,,6,63,,,6,6,12,6,0,0,12,0
2006-2007,ptPorto,21,24.4,,8,87,,,11,7,18,10,1,1,11,0
2006-2007,nlPSV Eindhoven,21,26.1,,10,108,,,8,6,14,8,0,0,9,2
2006-2007,esReal Madrid,27,27.4,,8,88,,,17,9,26,14,3,3,12,1
2006-2007,itRoma,21,27.1,,10,111,,,13,8,21,12,1,1,24,0
2006-2007,uaShakhtar,21,24.3,,8,65,,,6,3,9,6,0,0,18,2
2006-2007,ruSpartak Moscow,20,26.0,,10,63,,,7,6,13,7,0,0,6,0
2006-2007,ptSporting CP,21,25.1,,6,66,,,3,3,6,3,0,0,13,0
2006-2007,roSteaua,20,25.9,,10,66,,,7,5,12,7,0,0,14,0
2006-2007,esValencia,30,27.0,,12,110,,,15,9,24,15,0,0,21,0
2006-2007,deWerder Bremen,19,25.5,,6,66,,,5,3,8,5,0,0,12,0
2005-2006,nlAjax,21,24.3,,10,87,,,11,7,18,11,0,0,14,1
2005-2006,beAnderlecht,22,26.7,,10,63,,,1,1,2,1,0,0,4,1
2005-2006,engArsenal,25,25.5,,13,142,,,15,9,24,13,2,2,15,1
2005-2006,skArtmedia,18,26.5,,12,66,,,5,3,8,5,0,0,12,0
2005-2006,esBarcelona,22,26.7,,13,143,,,23,12,35,21,2,3,21,0
2005-2006,deBayern Munich,21,28.2,,8,88,,,12,8,20,12,0,0,13,0
2005-2006,ptBenfica,24,26.0,,10,109,,,7,4,11,7,0,0,13,0
2005-2006,esBetis,21,25.5,,8,69,,,3,3,6,3,0,0,18,0
2005-2006,engChelsea,21,26.1,,8,89,,,8,6,14,7,1,1,17,1
2005-2006,beClub Brugge,23,27.1,,8,68,,,6,4,10,6,0,0,8,0
2005-2006,trFenerbahçe,17,25.6,,6,66,,,7,2,9,5,2,2,10,3
2005-2006,itInter,26,28.2,,12,113,,,12,10,22,11,1,3,16,2
2005-2006,itJuventus,21,28.8,,10,110,,,16,10,26,16,0,0,24,4
2005-2006,frLille,22,24.8,,6,66,,,1,1,2,1,0,0,13,0
2005-2006,engLiverpool,21,26.3,,14,90,,,5,4,9,5,0,0,11,0
2005-2006,frLyon,24,26.7,,10,114,,,17,10,27,17,0,1,16,1
2005-2006,engManchester Utd,18,26.1,,8,65,,,3,1,4,3,0,0,15,2
2005-2006,itMilan,21,29.5,,12,131,,,20,16,36,19,1,2,18,1
2005-2006,grOlympiacos,20,29.8,,6,64,,,6,3,9,6,0,0,10,1
2005-2006,grPanathinaikos,20,25.7,,8,66,,,4,3,7,3,1,1,12,0
