Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
2022-2023,czViktoria Plzeň,22,28.1,29.5,6,66,540,6.0,5,4,9,4,1,1,12,1
2021-2022,nlAjax,21,26.0,61.4,8,88,720,8.0,21,16,37,20,1,1,15,0
2021-2022,itAtalanta,21,28.2,52.0,6,66,540,6.0,12,11,23,12,0,0,9,0
2021-2022,esAtlético Madrid,22,27.9,40.6,10,110,900,10.0,9,8,17,8,1,1,24,4
2021-2022,esBarcelona,23,25.9,57.8,6,66,540,6.0,2,1,3,2,0,0,13,1
2021-2022,deBayern Munich,24,26.9,62.9,10,110,900,10.0,30,23,53,27,3,4,12,0
2021-2022,ptBenfica,24,27.7,38.9,10,110,900,10.0,13,10,23,12,1,1,20,0
2021-2022,trBeşiktaş,26,28.0,44.2,6,66,540,6.0,3,2,5,2,1,1,16,2
2021-2022,engChelsea,24,27.4,61.0,10,110,930,10.3,21,15,36,19,2,2,14,0
2021-2022,beClub Brugge,21,26.2,38.8,6,66,540,6.0,5,5,10,5,0,0,11,0
2021-2022,deDortmund,23,26.2,51.8,6,66,540,6.0,10,8,18,8,2,2,8,2
2021-2022,uaDynamo Kyiv,23,25.5,41.2,6,66,540,6.0,1,1,2,1,0,0,10,0
2021-2022,itInter,22,29.0,49.1,8,88,720,8.0,9,6,15,9,0,0,12,2
2021-2022,itJuventus,28,27.3,51.5,8,88,720,8.0,11,6,17,9,2,2,10,0
2021-2022,frLille,23,26.4,46.8,8,88,720,8.0,8,4,12,6,2,2,26,0
2021-2022,engLiverpool,28,27.3,61.8,13,143,"1,170",13.0,28,21,49,27,1,2,15,0
2021-2022,seMalmö,21,28.4,38.0,6,66,540,6.0,1,1,2,1,0,0,14,1
2021-2022,engManchester City,26,27.2,60.1,12,132,"1,110",12.3,28,23,51,26,2,2,22,1
2021-2022,engManchester Utd,31,27.2,53.9,8,88,720,8.0,12,11,23,12,0,0,17,1
2021-2022,itMilan,23,26.0,46.8,6,66,540,6.0,5,4,9,5,0,0,17,1
2021-2022,frParis S-G,21,27.3,54.9,8,88,720,8.0,15,8,23,13,2,4,21,0
2021-2022,ptPorto,22,26.3,47.8,6,66,540,6.0,4,3,7,3,1,1,17,3
2021-2022,deRB Leipzig,23,25.0,49.0,6,66,540,6.0,15,13,28,13,2,3,13,1
2021-2022,atRB Salzburg,21,22.9,44.4,8,88,720,8.0,10,6,16,7,3,5,16,0
2021-2022,esReal Madrid,25,28.0,51.1,13,143,"1,230",13.7,28,21,49,25,3,3,25,0
2021-2022,esSevilla,22,28.9,60.5,6,66,540,6.0,5,3,8,3,2,2,20,2
2021-2022,uaShakhtar,25,25.2,58.8,6,66,540,6.0,2,2,4,2,0,0,5,0
2021-2022,mdSheriff Tiraspol,19,26.0,29.8,6,66,540,6.0,7,5,12,7,0,0,13,0
2021-2022,ptSporting CP,27,26.7,41.4,8,88,720,8.0,14,10,24,12,2,3,21,0
2021-2022,esVillarreal,25,28.0,43.2,12,132,"1,080",12.0,20,16,36,18,2,2,26,2
2021-2022,deWolfsburg,21,26.1,43.2,6,66,540,6.0,5,4,9,5,0,0,25,2
2021-2022,chYoung Boys,24,25.5,50.0,6,66,540,6.0,7,4,11,7,0,0,11,0
2021-2022,ruZenit,21,27.9,45.7,6,66,540,6.0,9,6,15,8,1,2,9,1
2020-2021,nlAjax,21,24.7,56.0,6,66,540,6.0,7,5,12,6,1,1,11,1
2020-2021,itAtalanta,25,27.5,46.5,8,88,720,8.0,11,10,21,11,0,0,11,1
2020-2021,esAtlético Madrid,20,27.0,49.1,8,88,720,8.0,7,6,13,7,0,0,17,1
2020-2021,esBarcelona,27,26.0,62.1,8,88,720,8.0,18,12,30,12,6,7,12,1
2020-2021,trBaşakşehir,21,29.5,42.8,6,66,540,6.0,7,5,12,7,0,0,18,0
2020-2021,deBayern Munich,26,27.0,59.6,10,110,900,10.0,25,18,43,22,3,3,20,1
2020-2021,engChelsea,24,26.2,51.8,13,143,"1,170",13.0,23,16,39,18,5,6,20,0
2020-2021,beClub Brugge,22,25.8,50.2,6,66,540,6.0,8,4,12,6,2,2,10,1
2020-2021,deDortmund,26,25.8,49.5,10,110,900,10.0,19,11,30,17,2,2,9,0
2020-2021,uaDynamo Kyiv,22,24.4,42.5,6,66,540,6.0,4,1,5,3,1,1,9,1
2020-2021,huFerencváros,20,27.8,44.2,6,66,540,6.0,5,3,8,4,1,1,16,0
2020-2021,itInter,21,28.3,50.3,6,66,540,6.0,7,6,13,7,0,0,22,1
2020-2021,itJuventus,22,27.6,55.1,8,88,750,8.3,17,14,31,15,2,2,22,1
2020-2021,ruKrasnodar,23,27.8,37.5,6,66,540,6.0,6,4,10,5,1,1,10,0
2020-2021,itLazio,25,29.0,44.8,8,88,720,8.0,12,8,20,9,3,3,23,0
2020-2021,engLiverpool,29,26.0,52.0,10,110,900,10.0,14,10,24,13,1,1,17,0
2020-2021,ruLoko Moscow,22,28.5,38.8,6,66,540,6.0,5,3,8,3,2,2,12,0
2020-2021,deM'Gladbach,21,27.0,42.0,8,88,720,8.0,15,9,24,13,2,2,12,0
2020-2021,engManchester City,25,26.1,60.2,13,143,"1,170",13.0,24,18,42,22,2,2,18,0
2020-2021,engManchester Utd,23,25.7,51.0,6,66,540,6.0,14,7,21,10,4,4,13,1
2020-2021,frMarseille,20,27.5,50.0,6,66,540,6.0,2,0,2,0,2,3,15,1
2020-2021,dkMidtjylland,22,25.5,42.3,6,66,540,6.0,4,2,6,2,2,2,12,1
2020-2021,grOlympiacos,21,28.7,49.0,6,66,540,6.0,2,2,4,2,0,0,11,1
2020-2021,frParis S-G,23,27.3,48.3,12,132,"1,080",12.0,21,16,37,18,3,4,31,4
2020-2021,ptPorto,26,27.0,39.8,10,110,930,10.3,15,6,21,11,4,4,23,2
2020-2021,deRB Leipzig,20,24.8,52.4,8,88,720,8.0,11,10,21,10,1,1,21,0
2020-2021,atRB Salzburg,19,24.9,48.8,6,66,540,6.0,9,6,15,9,0,0,11,0
2020-2021,esReal Madrid,25,27.9,57.6,12,132,"1,080",12.0,18,13,31,16,2,2,24,0
2020-2021,frRennes,26,25.7,49.5,6,66,540,6.0,3,1,4,1,2,2,17,1
2020-2021,esSevilla,25,27.9,60.3,8,88,720,8.0,13,8,21,12,1,1,20,1
2020-2021,uaShakhtar,23,24.7,45.3,6,66,540,6.0,4,3,7,4,0,0,7,0
2020-2021,ruZenit,21,27.8,46.2,6,66,540,6.0,3,3,6,3,0,0,13,0
2019-2020,nlAjax,19,24.9,54.5,6,66,540,6.0,10,10,20,10,0,0,20,2
2019-2020,itAtalanta,23,27.4,48.3,9,99,810,9.0,17,9,26,13,4,5,25,0
2019-2020,esAtlético Madrid,21,26.2,45.1,9,99,840,9.3,13,9,22,11,2,3,16,0
2019-2020,esBarcelona,24,27.6,57.0,9,99,810,9.0,13,10,23,12,1,1,25,1
2019-2020,deBayern Munich,20,27.0,63.8,11,121,990,11.0,43,37,80,41,2,2,13,0
2019-2020,ptBenfica,23,24.9,48.5,6,66,540,6.0,9,5,14,8,1,1,8,0
